井号,年 月,层 位,有效厚度,生产天数,动液面(m),月产液,月产油(t),月产水(m3),累产油(10^4t),累产水(10^4m3)
1号井,200203,S2F1-S2F1,5.5,30.21,,1362,1066,296,3.0012,0.1892
1号井,200204,S2F1-S2F1,5.5,29.21,,1371,1036,335,3.1048,0.2227
1号井,200205,S2F1-S2F1,5.5,30.19,,1509,1119,390,3.2167,0.2617
1号井,200206,S2F1-S2F1,5.5,29.19,,1434,1019,415,3.3186,0.3032
1号井,200207,S2F1-S2F1,5.5,30.18,,1562,1088,474,3.4274,0.3506
1号井,200208,S2F1-S2F1,5.5,30.23,650,1704,1174,530,3.5448,0.4036
1号井,200209,S2F1-S2F1,5.5,29.05,,1604,1157,447,3.6605,0.4483
1号井,200210,S2F1-S2F1,5.5,30.16,,1597,1055,542,3.766,0.5025
1号井,200211,S2F1-S2F1,5.5,29.21,,1620,957,663,3.8617,0.5688
1号井,200212,S2F1-S2F1,5.5,30.21,756,1670,927,743,3.9544,0.6431
1号井,200301,S2F1-S2F1,5.5,30.21,,1677,860,817,4.0404,0.7248
1号井,200302,S2F1-S2F1,5.5,27.21,,1442,721,721,4.1125,0.7969
1号井,200303,S2F1-S2F1,5.5,30.18,,1597,777,820,4.1902,0.8789
1号井,200304,S2F1-S2F1,5.5,29.21,,1547,698,849,4.26,0.9638
1号井,200305,S2F1-S2F1,5.5,30.21,,1640,699,941,4.3299,1.0579
1号井,200306,S2F1-S2F1,5.5,29.12,618,1525,661,864,4.396,1.1443
1号井,200307,S2F1-S2F1,5.5,30,,1416,600,816,4.456,1.2259
1号井,200308,S2F1-S2F1,5.5,30.18,,1358,719,639,4.5279,1.2898
1号井,200309,S2F1-S2F1,5.5,29.18,,1325,588,737,4.5867,1.3635
1号井,200310,S2F1-S2F1,5.5,30.21,,1032,503,529,4.637,1.4164
1号井,200311,S2F1-S2F1,5.5,29.21,,460,211,249,4.6581,1.4413
1号井,200312,S2F1-S2F1,5.5,21.16,,739,237,502,4.6818,1.4915
1号井,200401,S2F1-S2F1,5.5,30.21,,1166,534,632,4.7352,1.5547
1号井,200402,S2F1-S2F1,5.5,28.21,,1097,549,548,4.7901,1.6095
1号井,200403,S2F1-S2F1,5.5,27.08,,1039,413,626,4.8314,1.6721
1号井,200404,S2F1-S2F1,5.5,29.21,,1135,467,668,4.8781,1.7389
1号井,200405,S2F1-S2F1,5.5,30.19,,1171,468,703,4.9249,1.8092
1号井,200406,S2F1-S2F1,5.5,29.1,,1119,482,637,4.9731,1.8729
1号井,200407,S2F1-S2F1,5.5,30.19,,1170,466,704,5.0197,1.9433
1号井,200408,S2F1-S2F1,5.5,30.21,,1182,429,753,5.0626,2.0186
1号井,200409,S2F1-S2F1,5.5,29.01,,1106,393,713,5.1019,2.0899
1号井,200410,S2F1-S2F1,5.5,30.21,,1087,394,693,5.1413,2.1592
1号井,200411,S2F1-S2F1,5.5,16.06,,655,140,515,5.1553,2.2107
1号井,200412,S2F1-S2F1,5.5,26.06,,1145,291,854,5.1844,2.2961
1号井,200501,S2F1-S2F1,5.5,30.19,,1335,384,951,5.2228,2.3912
1号井,200502,S2F1-S2F1,5.5,27.16,,1579,486,1093,5.2714,2.5005
1号井,200503,S2F1-S2F1,5.5,30.1,895,2430,750,1680,5.3464,2.6685
1号井,200504,S2F1-S2F1,5.5,29.14,919,1272,374,898,5.3838,2.7583
1号井,200505,S2F1-S2F1,5.5,30.21,887,1367,266,1101,5.4104,2.8684
1号井,200506,S2F1-S2F1,5.5,29.21,768,1351,154,1197,5.4258,2.9881
1号井,200507,S2F1-S2F1,5.5,14.17,460,737,116,621,5.4374,3.0502
1号井,200508,S2F1-S2F1,5.5,30.21,1034,1942,237,1705,5.4611,3.2207
1号井,200509,S2F1-S2F1,5.5,29.21,1008,1786,332,1454,5.4943,3.3661
1号井,200510,S2F1-S2F1,5.5,30.15,1059,1814,359,1455,5.5302,3.5116
1号井,200511,S2F1-S2F1,5.5,15.02,1024,512,90,422,5.5392,3.5538
1号井,200512,S2F1-S2F1,5.5,31,1168,1841,233,1608,5.5625,3.7146
1号井,200601,S2F1-S2F1,5.5,30.21,1072,1673,286,1387,5.5911,3.8533
1号井,200602,S2F1-S2F1,5.5,27.22,1073,1531,246,1285,5.6157,3.9818
1号井,200603,S2F1-S2F1,5.5,30.22,922,1326,176,1150,5.6333,4.0968
1号井,200604,S2F1-S2F1,5.5,26.04,634,1220,73,1147,5.6406,4.2115
1号井,200605,S2F1-S2F1,5.5,30.12,928,1660,217,1443,5.6623,4.3558
1号井,200606,S2F1-S2F1,5.5,29.17,872,1477,188,1289,5.6811,4.4847
1号井,200607,S2F1-S2F1,5.5,30.14,875,1538,202,1336,5.7013,4.6183
1号井,200608,S2F1-S2F1,5.5,25.01,930,1260,188,1072,5.7201,4.7255
1号井,200609,S2F1-S2F1,5.5,19.23,1114,1204,51,1153,5.7252,4.8408
1号井,200610,S2F1-S2F1,5.5,30.22,1117,1886,194,1692,5.7446,5.01
1号井,200611,S2F1-S2F1,5.5,29.09,1101,1850,306,1544,5.7752,5.1644
1号井,200612,S2F1-S2F1,5.5,24.14,1126,1615,189,1426,5.7941,5.307
1号井,200701,S2F1-S2F1,5.5,31,1504,2999,514,2485,5.8455,5.5555
1号井,200702,S2F1-S2F1,5.5,28,1137,2689,448,2241,5.8903,5.7796
1号井,200703,S2F1-S2F1,5.5,31,1101,3186,468,2718,5.9371,6.0514
1号井,200704,S2F1-S2F1,5.5,30,1115,3035,433,2602,5.9804,6.3116
1号井,200705,S2F1-S2F1,5.5,30.14,1081,3117,519,2598,6.0323,6.5714
1号井,200706,S2F1-S2F1,5.5,30,1178,3061,464,2597,6.0787,6.8311
1号井,200707,S2F1-S2F1,5.5,31,1087,3275,435,2840,6.1222,7.1151
1号井,200708,S2F1-S2F1,5.5,31,1170,3467,373,3094,6.1595,7.4245
1号井,200709,S2F1-S2F1,5.5,30,1067,3504,319,3185,6.1914,7.743
1号井,200710,S2F1-S2F1,5.5,31,1018,3547,324,3223,6.2238,8.0653
1号井,200711,S2F1-S2F1,5.5,30,1045,3472,312,3160,6.255,8.3813
1号井,200712,S2F1-S2F1,5.5,31,,3511,363,3148,6.2913,8.6961
1号井,200801,S2F1-S2F1,5.5,30.1,1066,3274,409,2865,6.3322,8.9826
1号井,200802,S2F1-S2F1,5.5,29,1088,3062,369,2693,6.3691,9.2519
1号井,200803,S2F1-S2F1,5.5,31,1116,3347,311,3036,6.4002,9.5555
1号井,200804,S2F1-S2F1,5.5,30,1171,3214,281,2933,6.4283,9.8488
1号井,200805,S2F1-S2F1,5.5,31,1178,3338,300,3038,6.4583,10.1526
1号井,200806,S2F1-S2F1,5.5,30,1194,3201,321,2880,6.4904,10.4406
1号井,200807,S2F1-S2F1,5.5,29.11,1693,3014,285,2729,6.5189,10.7135
1号井,200808,S2F1-S2F1,5.5,31,1207,3022,267,2755,6.5456,10.989
1号井,200809,S2F1-S2F1,5.5,30,1179,2915,272,2643,6.5728,11.2533
1号井,200810,S2F1-S2F1,5.5,30.2,1212,2998,283,2715,6.6011,11.5248
1号井,200811,S2F1-S2F1,5.5,30,1186,2838,243,2595,6.6254,11.7843
1号井,200812,S2F1-S2F1,5.5,31,1085,2901,215,2686,6.6469,12.0529
1号井,200901,S2F1-S2F1,5.5,31,1107,2867,222,2645,6.6691,12.3174
1号井,200902,S2F1-S2F1,5.5,28,1077,2637,214,2423,6.6905,12.5597
1号井,200903,S2F1-S2F1,5.5,31,1138,2892,257,2635,6.7162,12.8232
1号井,200904,S2F1-S2F1,5.5,29.15,1184,2734,223,2511,6.7385,13.0743
1号井,200905,S2F1-S2F1,5.5,31,1124,2845,217,2628,6.7602,13.3371
1号井,200906,S2F1-S2F1,5.5,30,1203,2782,232,2550,6.7834,13.5921
1号井,200907,S2F1-S2F1,5.5,31,1198,2769,217,2552,6.8051,13.8473
1号井,200908,S2F1-S2F1,5.5,31,1178,2651,227,2424,6.8278,14.0897
1号井,200909,S2F1-S2F1,5.5,30,1165,2520,221,2299,6.8499,14.3196
1号井,200910,S2F1-S2F1,5.5,31,1180,2573,218,2355,6.8717,14.5551
1号井,200911,S2F1-S2F1,5.5,29.12,1192,2411,204,2207,6.8921,14.7758
1号井,200912,S2F1-S2F1,5.5,22.06,,2257,130,2127,6.9051,14.9885
1号井,201001,S2F1-S2F1,5.5,31,1205,3125,247,2878,6.9298,15.2763
1号井,201002,S2F1-S2F1,5.5,28,1241,2824,225,2599,6.9523,15.5362
1号井,201003,S2F1-S2F1,5.5,31,1229,3111,232,2879,6.9755,15.8241
1号井,201004,S2F1-S2F1,5.5,30,1268,2957,220,2737,6.9975,16.0978
1号井,201005,S2F1-S2F1,5.5,30.22,1267,3053,227,2826,7.0202,16.3804
1号井,201006,S2F1-S2F1,5.5,30,1221,3062,221,2841,7.0423,16.6645
1号井,201007,S2F1-S2F1,5.5,30.15,1285,3129,222,2907,7.0645,16.9552
1号井,201008,S2F1-S2F1,5.5,30.2,1542,3164,207,2957,7.0852,17.2509
1号井,201009,S2F1-S2F1,5.5,29.19,1196,2967,199,2768,7.1051,17.5277
1号井,201010,S2F1-S2F1,5.5,30.13,1106,3029,213,2816,7.1264,17.8093
1号井,201011,S2F1-S2F1,5.5,30,1126,2994,206,2788,7.147,18.0881
1号井,201012,S2F1-S2F1,5.5,30.17,1157,3057,203,2854,7.1673,18.3735
1号井,201101,S2F1-S2F1,5.5,31,1122,3152,196,2956,7.1869,18.6691
1号井,201102,S2F1-S2F1,5.5,28,1130,2876,168,2708,7.2037,18.9399
1号井,201103,S2F1-S2F1,5.5,31,1139,3121,187,2934,7.2224,19.2333
1号井,201104,S2F1-S2F1,5.5,29.15,1097,2738,184,2554,7.2408,19.4887
1号井,201105,S2F1-S2F1,5.5,31,1146,2772,223,2549,7.2631,19.7436
1号井,201106,S2F1-S2F1,5.5,30,1106,2845,115,2730,7.2746,20.0166
1号井,201107,S2F1-S2F1,5.5,30.22,1159,2876,136,2740,7.2882,20.2906
1号井,201108,S2F1-S2F1,5.5,30.11,1180,2519,181,2338,7.3063,20.5244
1号井,201109,S2F1-S2F1,5.5,29.2,1131,2405,179,2226,7.3242,20.747
1号井,201110,S2F1-S2F1,5.5,31,1049,2614,140,2474,7.3382,20.9944
1号井,201111,S2F1-S2F1,5.5,26,1263,2649,113,2536,7.3495,21.248
1号井,201112,S2F1-S2F1,5.5,31,1268,3418,214,3204,7.3709,21.5684
1号井,201201,S2F1-S2F1,5.5,31,1126,3420,214,3206,7.3923,21.889
1号井,201202,S2F1-S2F1,5.5,29,1087,3196,227,2969,7.415,22.1859
1号井,201203,S2F1-S2F1,5.5,31,1273,3400,225,3175,7.4375,22.5034
1号井,201204,S2F1-S2F1,5.5,29.16,1299,3316,197,3119,7.4572,22.8153
1号井,201205,S2F1-S2F1,5.5,31,1303,3277,224,3053,7.4796,23.1206
1号井,201206,S2F1-S2F1,5.5,29.22,1307,3111,201,2910,7.4997,23.4116
1号井,201207,S2F1-S2F1,5.5,27.04,1372,2756,186,2570,7.5183,23.6686
1号井,201208,S2F1-S2F1,5.5,31,1356,3261,194,3067,7.5377,23.9753
1号井,201209,S2F1-S2F1,5.5,29.21,1140,3443,211,3232,7.5588,24.2985
1号井,201210,S2F1-S2F1,5.5,31,1142,3514,233,3281,7.5821,24.6266
1号井,201211,S2F1-S2F1,5.5,30,1059,3255,240,3015,7.6061,24.9281
1号井,201212,S2F1-S2F1,5.5,31,1093,3364,255,3109,7.6316,25.239
1号井,201301,S2F1-S2F1,5.5,29.23,1108,3309,250,3059,7.6566,25.5449
1号井,201302,S2F1-S2F1,5.5,28,1085,3160,223,2937,7.6789,25.8386
1号井,201303,S2F1-S2F1,5.5,31,1186,3609,226,3383,7.7015,26.1769
1号井,201304,S2F1-S2F1,5.5,30,1181,3428,204,3224,7.7219,26.4993
1号井,201305,S2F1-S2F1,5.5,30.16,1163,3546,200,3346,7.7419,26.8339
1号井,201306,S2F1-S2F1,5.5,29.22,1236,3590,168,3422,7.7587,27.1761
1号井,201307,S2F1-S2F1,5.5,30.19,1187,3653,175,3478,7.7762,27.5239
1号井,201308,S2F1-S2F1,5.5,30.16,1267,3433,168,3265,7.793,27.8504
1号井,201309,S2F1-S2F1,5.5,30,1307,3400,152,3248,7.8082,28.1752
1号井,201310,S2F1-S2F1,5.5,30.22,1255,3613,160,3453,7.8242,28.5205
1号井,201311,S2F1-S2F1,5.5,29.22,1204,3478,158,3320,7.84,28.8525
1号井,201312,S2F1-S2F1,5.5,30.21,1213,3591,159,3432,7.8559,29.1957
1号井,201401,S2F1-S2F1,5.5,31,1194,3645,139,3506,7.8698,29.5463
1号井,201402,S2F1-S2F1,5.5,28,1204,3231,112,3119,7.881,29.8582
1号井,201403,S2F1-S2F1,5.5,30.18,1235,3518,125,3393,7.8935,30.1975
1号井,201404,S2F1-S2F1,5.5,30,1226,3464,128,3336,7.9063,30.5311
1号井,201405,S2F1-S2F1,5.5,31,1201,3532,123,3409,7.9186,30.872
1号井,201406,S2F1-S2F1,5.5,29.17,1229,3401,116,3285,7.9302,31.2005
1号井,201407,S2F1-S2F1,5.5,30.18,1234,3542,104,3438,7.9406,31.5443
1号井,201408,S2F1-S2F1,5.5,31,1199,3617,102,3515,7.9508,31.8958
1号井,201409,S2F1-S2F1,5.5,30,1126,3519,94,3425,7.9602,32.2383
1号井,201410,S2F1-S2F1,5.5,30.22,1165,3609,84,3525,7.9686,32.5908
1号井,201411,S2F1-S2F1,5.5,29.19,1147,3504,82,3422,7.9768,32.933
1号井,201412,S2F1-S2F1,5.5,31,1146,3452,90,3362,7.9858,33.2692
1号井,201501,S2F1-S2F1,5.5,31,1148,3389,120,3269,7.9978,33.5961
1号井,201502,S2F1-S2F1,5.5,27.16,1132,2955,120,2835,8.0098,33.8796
1号井,201503,S2F1-S2F1,5.5,31,1067,3454,96,3358,8.0194,34.2154
1号井,201504,S2F1-S2F1,5.5,30,1110,3280,97,3183,8.0291,34.5337
1号井,201505,S2F1-S2F1,5.5,31,1088,3335,94,3241,8.0385,34.8578
1号井,201506,S2F1-S2F1,5.5,29.2,1077,3157,68,3089,8.0453,35.1667
1号井,201507,S2F1-S2F1,5.5,30.21,1035,3252,75,3177,8.0528,35.4844
1号井,201508,S2F1-S2F1,5.5,30.15,1046,3175,56,3119,8.0584,35.7963
1号井,201509,S2F1-S2F1,5.5,30,1091,2895,65,2830,8.0649,36.0793
1号井,201510,S2F1-S2F1,5.5,31,1059,2943,53,2890,8.0702,36.3683
1号井,201511,S2F1-S2F1,5.5,29.22,1095,2861,61,2800,8.0763,36.6483
1号井,201512,S2F1-S2F1,5.5,31,1097,3003,58,2945,8.0821,36.9428
1号井,201601,S2F1-S2F1,5.5,31,1084,3022,55,2967,8.0876,37.2395
1号井,201602,S2F1-S2F1,5.5,28.22,1064,2735,41,2694,8.0917,37.5089
1号井,201603,S2F1-S2F1,5.5,10.08,1047,909,15,894,8.0932,37.5983
1号井,201604,S2F1-S2F1,5.5,,,0,,,8.0932,37.5983
1号井,201605,S2F1-S2F1,5.5,,,0,,,8.0932,37.5983
1号井,201606,S2F1-S2F1,5.5,2.22,558,266,3,263,8.0935,37.6246
1号井,201607,S2F1-S2F1,5.5,,,0,,,8.0935,37.6246
1号井,201608,S2F5-S2F5,4.6,14.13,525,265,18,247,8.0953,37.6493
1号井,201609,S2F5-S2F5,4.6,30,524,552,63,489,8.1016,37.6982
1号井,201610,S2F5-S2F5,4.6,30.22,535,570,36,534,8.1052,37.7516
1号井,201611,S2F5-S2F5,4.6,29.23,524,556,16,540,8.1068,37.8056
1号井,201612,S2F5-S2F5,4.6,31,545,585,11,574,8.1079,37.863
1号井,201701,S2F5-S2F5,4.6,30.23,537,588,9,579,8.1088,37.9209
1号井,201702,S2F5-S2F5,4.6,28,517,530,9,521,8.1097,37.973
1号井,201703,S2F5-S2F5,4.6,5.19,881,103,1,102,8.1098,37.9832
1号井,201704,S2F5-S2F5,4.6,30,1663,247,75,172,8.1173,38.0004
1号井,201705,S2F5-S2F5,4.6,31,1643,142,92,50,8.1265,38.0054
1号井,201706,S2F5-S2F5,4.6,29.23,2176,125,87,38,8.1352,38.0092
1号井,201707,S2F5-S2F5,4.6,30.23,2233,119,84,35,8.1436,38.0127
1号井,201708,S2F5-S2F5,4.6,30.22,2193,115,82,33,8.1518,38.016
1号井,201709,S2F5-S2F5,4.6,29.2,2207,103,75,28,8.1593,38.0188
1号井,201710,S2F5-S2F5,4.6,29.23,2197,105,75,30,8.1668,38.0218
1号井,201711,S2F5-S2F5,4.6,30,2264,96,65,31,8.1733,38.0249
1号井,201712,S2F5-S2F5,4.6,30.21,2281,100,54,46,8.1787,38.0295
1号井,201801,S2F5-S2F5,4.6,29,,99,51,48,8.1838,38.0343
1号井,201802,S2F5-S2F5,4.6,27.23,,130,64,66,8.1902,38.0409
1号井,201803,S2F5-S2F5,4.6,30.23,,154,59,95,8.1961,38.0504
1号井,201804,S2F5-S2F5,4.6,29.23,,156,53,103,8.2014,38.0607
1号井,201805,S2F5-S2F5,4.6,31,,164,57,107,8.2071,38.0714
1号井,201806,S2F5-S2F5,4.6,30,,141,49,92,8.212,38.0806
1号井,201807,S2F5-S2F5,4.6,30.23,,163,52,111,8.2172,38.0917
1号井,201808,S2F5-S2F5,4.6,30.03,,175,52,123,8.2224,38.104
1号井,201809,S2F5-S2F5,4.6,30,,189,54,135,8.2278,38.1175
1号井,201810,S2F5-S2F5,4.6,30.07,,310,50,260,8.2328,38.1435
1号井,201811,S2F5-S2F5,4.6,20,1714,101,2,99,8.233,38.1534
1号井,201812,S2F5-S2F5,4.6,30.16,,232,26,206,8.2356,38.174
1号井,201901,S2F5-S2F5,4.6,26.17,2252,173,27,146,8.2383,38.1886
1号井,201902,S2F5-S2F5,4.6,28,2252,185,31,154,8.2414,38.204
1号井,201903,S2F5-S2F5,4.6,31,,209,35,174,8.2449,38.2214
1号井,201904,S2F5-S2F5,4.6,30,,203,33,170,8.2482,38.2384
1号井,201905,S2F5-S2F5,4.6,31,,210,35,175,8.2517,38.2559
1号井,201906,S2F5-S2F5,4.6,30,,206,36,170,8.2553,38.2729
1号井,201907,S2F5-S2F5,4.6,31,,208,38,170,8.2591,38.2899
1号井,201908,S2F5-S2F5,4.6,30.23,,207,38,169,8.2629,38.3068
1号井,201909,S2F5-S2F5,4.6,30,2052,244,36,208,8.2665,38.3276
1号井,201910,S2F5-S2F5,4.6,30.22,944,92,7,85,8.2672,38.3361
1号井,201911,S2F5-S2F5,4.6,19.23,937,92,2,90,8.2674,38.3451
1号井,201912,S2F5-S2F5,4.6,,,0,,,8.2674,38.3451
1号井,202001,S2F5-S2F5,4.6,26.16,1386,263,8,255,8.2682,38.3706
1号井,202002,S2F5-S2F5,4.6,29,,256,11,245,8.2693,38.3951
1号井,202003,S2F5-S2F5,4.6,31,2145,262,19,243,8.2712,38.4194
1号井,202004,S2F5-S2F5,4.6,30,2166,258,15,243,8.2727,38.4437
1号井,202005,S2F5-S2F5,4.6,31,2169,271,17,254,8.2744,38.4691
1号井,202006,S2F5-S2F5,4.6,30,2129,264,18,246,8.2762,38.4937
1号井,202007,S2F5-S2F5,4.6,29.11,2133,262,15,247,8.2777,38.5184
1号井,202008,S2F5-S2F5,4.6,,,0,,,8.2777,38.5184
1号井,202009,S2F5-S2F5,4.6,,,0,,,8.2777,38.5184
1号井,202010,S2F5-S2F5,4.6,,,0,,,8.2777,38.5184
1号井,202011,S2F5-S2F5,4.6,,,0,,,8.2777,38.5184
1号井,202012,S2F5-S2F5,4.6,,,0,,,8.2777,38.5184
1号井,202101,S2F5-S2F5,4.6,20.09,,246,6,240,8.2783,38.5424
1号井,202102,S2F3-S2F5,14.2,27.23,,284,35,249,8.2818,38.5673
1号井,202103,S2F3-S2F5,14.2,31,,267,28,239,8.2846,38.5912
1号井,202104,S2F3-S2F5,14.2,29.18,,246,21,225,8.2867,38.6137
1号井,202105,S2F3-S2F5,14.2,31,,250,20,230,8.2887,38.6367
1号井,202106,S2F3-S2F5,14.2,30,,238,19,219,8.2906,38.6586
1号井,202107,S2F3-S2F5,14.2,30.22,,248,24,224,8.293,38.681
1号井,202108,S2F3-S2F5,14.2,30.23,,242,27,215,8.2957,38.7025
1号井,202109,S2F3-S2F5,14.2,30,,230,22,208,8.2979,38.7233
1号井,202110,S2F3-S2F5,14.2,31,,238,25,213,8.3004,38.7446
1号井,202111,S2F3-S2F5,14.2,29.22,,232,19,213,8.3023,38.7659
1号井,202112,S2F3-S2F5,14.2,30.23,,241,20,221,8.3043,38.788
2号井,200009,S2F2-S3  ,39.3,21.22,743,542,494,48,0.0494,0.0048
2号井,200010,S2F2-S3  ,39.3,30.13,670,911,908,3,0.1402,0.0051
2号井,200011,S2F2-S3  ,39.3,29.2,686,1258,1254,4,0.2656,0.0055
2号井,200012,S2F2-S3  ,39.3,30.22,786,1708,1708,,0.4364,0.0055
2号井,200101,S2F2-S3  ,39.3,30.15,794,1732,1732,,0.6096,0.0055
2号井,200102,S2F2-S3  ,39.3,27.15,847,1490,1490,,0.7586,0.0055
2号井,200103,S2F2-S3  ,39.3,30.08,851,1568,1568,,0.9154,0.0055
2号井,200104,S2F2-S3  ,39.3,29.11,849,1424,1424,,1.0578,0.0055
2号井,200105,S2F2-S3  ,39.3,30.18,993,1471,1471,,1.2049,0.0055
2号井,200106,S2F2-S3  ,39.3,29.21,1062,1477,1477,,1.3526,0.0055
2号井,200107,S2F2-S3  ,39.3,30.21,1160,1784,1244,540,1.477,0.0595
2号井,200108,S2F2-S3  ,39.3,30.17,1270,2117,1133,984,1.5903,0.1579
2号井,200109,S2F2-S3  ,39.3,29.16,1470,1915,796,1119,1.6699,0.2698
2号井,200110,S2F2-S3  ,39.3,30.11,,1497,354,1143,1.7053,0.3841
2号井,200111,S2F2-S3  ,39.3,29.21,1221,1469,271,1198,1.7324,0.5039
2号井,200112,S2F2-S3  ,39.3,30.21,1285,1520,240,1280,1.7564,0.6319
2号井,200201,S2F2-S3  ,39.3,30.16,1376,1450,201,1249,1.7765,0.7568
2号井,200202,S2F2-S3  ,39.3,27.21,,1247,147,1100,1.7912,0.8668
2号井,200203,S2F2-S3  ,39.3,30.21,1370,1269,127,1142,1.8039,0.981
2号井,200204,S2F2-S3  ,39.3,29.21,1351,1182,126,1056,1.8165,1.0866
2号井,200205,S2F2-S3  ,39.3,30.19,,1052,126,926,1.8291,1.1792
2号井,200206,S2F2-S3  ,39.3,29.21,1222,1258,157,1101,1.8448,1.2893
2号井,200207,S2F2-S3  ,39.3,1.1,,56,6,50,1.8454,1.2943
3号井,200001,S2XF-S2XF,8.5,22.21,808,833,808,25,0.0808,0.0025
3号井,200002,S2XF-S2XF,8.5,28.21,702,976,976,,0.1784,0.0025
3号井,200003,S2XF-S2XF,8.5,30.13,804,1021,1021,,0.2805,0.0025
3号井,200004,S2XF-S2XF,8.5,27.19,894,788,788,,0.3593,0.0025
3号井,200005,S2XF-S2XF,8.5,30.15,867,640,640,,0.4233,0.0025
3号井,200006,S2XF-S2XF,8.5,29.21,,602,602,,0.4835,0.0025
3号井,200007,S2XF-S2XF,8.5,30.18,,600,600,,0.5435,0.0025
3号井,200008,S2XF-S2XF,8.5,31,,443,443,,0.5878,0.0025
3号井,200009,S2XF-S2XF,8.5,29.09,1033,382,382,,0.626,0.0025
3号井,200010,S2XF-S2XF,8.5,28.19,,447,447,,0.6707,0.0025
3号井,200011,S2F2-S2F2,8.5,29.21,,707,707,,0.7414,0.0025
3号井,200012,S2F2-S2F2,8.5,30.21,,678,678,,0.8092,0.0025
3号井,200101,S2F2-S2F2,8.5,30.18,,611,611,,0.8703,0.0025
3号井,200102,S2F2-S2F2,8.5,27.16,,439,439,,0.9142,0.0025
3号井,200103,S2F2-S2F2,8.5,30.07,,427,427,,0.9569,0.0025
3号井,200104,S2F2-S2F2,8.5,29.16,,502,502,,1.0071,0.0025
3号井,200105,S2F2-S2F2,8.5,28.2,,386,386,,1.0457,0.0025
3号井,200106,S2F2-S2F2,8.5,29.13,,414,414,,1.0871,0.0025
3号井,200107,S2F2-S2F2,8.5,30.16,,401,401,,1.1272,0.0025
3号井,200108,S2F2-S2F2,8.5,30.21,,364,364,,1.1636,0.0025
3号井,200109,S2F2-S2F2,8.5,29.19,,296,296,,1.1932,0.0025
3号井,200110,S2F2-S2F2,8.5,30.21,,289,289,,1.2221,0.0025
3号井,200111,S2F2-S2F2,8.5,29.21,,278,278,,1.2499,0.0025
3号井,200112,S2F2-S2F2,8.5,30.21,,277,266,11,1.2765,0.0036
3号井,200201,S2F2-S2F2,8.5,30.21,,234,234,,1.2999,0.0036
3号井,200202,S2F2-S2F2,8.5,27.21,,184,184,,1.3183,0.0036
3号井,200203,S2F2-S2F2,8.5,30.21,,183,183,,1.3366,0.0036
3号井,200204,S2F2-S2F2,8.5,29.21,,186,186,,1.3552,0.0036
3号井,200205,S2F2-S2F2,8.5,30.19,,179,179,,1.3731,0.0036
3号井,200206,S2F2-S2F2,8.5,29.19,,219,219,,1.395,0.0036
3号井,200207,S2F2-S2F2,8.5,30.13,,333,333,,1.4283,0.0036
3号井,200208,S2F2-S2F2,8.5,30.21,1426,335,335,,1.4618,0.0036
3号井,200209,S2F2-S2F2,8.5,29.05,,289,289,,1.4907,0.0036
3号井,200210,S2F2-S2F2,8.5,30.11,,259,259,,1.5166,0.0036
3号井,200211,S2F2-S2F2,8.5,29.18,,196,195,1,1.5361,0.0037
