¾®ºÅ,Äê ÔÂ,²ã Î»,É° ºñ,Éú²úÌìÊý,ÈÕ×¢ÄÜÁ¦(m3),¸ÉÑ¹(Mpa),ÓÍÑ¹(Mpa),Ì×Ñ¹(Mpa),ÔÂ×¢Ë®(m3),Äê×¢Ë®(10^4m3),ÀÛ×¢Ë®(10^4m3)
2ºÅ¾®,200404,S2F1S2F-S2F2,32.5,29.2,163,13.2,3.7,4,4863,1.9826,6.3376
2ºÅ¾®,200405,S2F1S2F-S2F2,32.5,30.08,166,13,3.8,4,5030,2.4856,6.8406
2ºÅ¾®,200406,S2F1S2F-S2F2,32.5,29.17,160,13.8,4.4,4.8,4765,2.9621,7.3171
2ºÅ¾®,200407,S2F1S2F-S2F2,32.5,31,159,13,4.7,5.1,4942,3.4563,7.8113
2ºÅ¾®,200408,S2F1S2F-S2F2,32.5,30.14,187,12.8,4.8,5,5710,4.0273,8.3823
2ºÅ¾®,200409,S2F1S2F-S2F2,32.5,29.19,227,13,4.8,5.3,6768,4.7041,9.0591
2ºÅ¾®,200410,S2F1S2F-S2F2,32.5,30.17,155,12.4,4,4.2,4759,5.18,9.535
2ºÅ¾®,200411,S2F1S2F-S2F2,32.5,27.1,239,12.2,4,4.2,6544,5.8344,10.1894
2ºÅ¾®,200412,S2F1S2F-S2F2,32.5,29.01,270,11.2,4.9,5.1,7833,6.6177,10.9727
2ºÅ¾®,200501,S2F1S2F-S2F2,32.5,30.23,247,11.8,4.6,5,7659,0.7659,11.7386
2ºÅ¾®,200502,S2F1S2F-S2F2,32.5,27.12,253,11.7,4.9,5.2,6970,1.4629,12.4356
2ºÅ¾®,200503,S2F1S2F-S2F2,32.5,30.23,287,12,4.9,5.1,8893,2.3522,13.3249
2ºÅ¾®,200504,S2F1S2F-S2F2,32.5,29.11,320,12.2,5.1,5.5,9416,3.2938,14.2665
2ºÅ¾®,200505,S2F1S2F-S2F2,32.5,27.19,300,12.1,4.6,5.4,8326,4.1264,15.0991
2ºÅ¾®,200506,S2F1S2F-S2F2,32.5,30,294,12.1,5.1,5.6,8806,5.007,15.9797
2ºÅ¾®,200507,S2F1S2F-S2F2,32.5,29.08,319,12,5.7,6,9350,5.942,16.9147
2ºÅ¾®,200508,S2F1S2F-S2F2,32.5,30.05,306,11.9,6.9,6.9,9233,6.8653,17.838
2ºÅ¾®,200509,S2F1S2F-S2F2,32.5,29.15,312,12.5,6.2,6.7,9232,7.7885,18.7612
2ºÅ¾®,200510,S2F1S2F-S2F2,32.5,30.1,291,12,5.4,5.8,8858,8.6743,19.647
2ºÅ¾®,200511,S2F1S2F-S2F2,32.5,29.16,294,12.7,4.4,5.1,8733,9.5476,20.5203
2ºÅ¾®,200512,S2F1S2F-S2F2,32.5,30.16,272,11.9,2.8,3.8,8347,10.3823,21.355
2ºÅ¾®,200601,S2F1S2F-S2F2,32.5,11.01,170,,,,1882,0.1882,21.5432
2ºÅ¾®,200602,S2F1-S2F2,32.5,27.15,233,11.8,2,1.5,6428,0.831,22.186
2ºÅ¾®,200603,S2F1-S2F2,32.5,30.16,243,12.5,2.4,1.9,7454,1.5764,22.9314
2ºÅ¾®,200604,S2F1-S2F2,32.5,29.13,272,12.5,2.4,2,8035,2.3799,23.7349
2ºÅ¾®,200605,S2F1-S2F2,32.5,30.17,292,12,3,2.7,8968,3.2767,24.6317
2ºÅ¾®,200606,S2F1-S2F2,32.5,29.22,294,11.8,4,3.5,8784,4.1551,25.5101
2ºÅ¾®,200607,S2F1-S2F2,32.5,31,284,11.7,4.2,4.2,8818,5.0369,26.3919
2ºÅ¾®,200608,S2F1-S2F2,32.5,30.23,293,13.1,4,3.6,9059,5.9428,27.2978
2ºÅ¾®,200609,S2F1-S2F2,32.5,25,293,,,,7321,6.6749,28.0299
2ºÅ¾®,200610,S2F1-S2F2,32.5,29.15,293,12.1,4.7,4.2,8692,7.5441,28.8991
2ºÅ¾®,200611,S2F1-S2F2,32.5,29.22,287,12.1,5.8,5.5,8585,8.4026,29.7576
2ºÅ¾®,200612,S2F1-S2F2,32.5,30.18,284,12.1,5,4.5,8727,9.2753,30.6303
2ºÅ¾®,200701,S2F1-S2F2,32.5,30.14,281,11.8,6.1,5.9,8603,0.8603,31.4906
2ºÅ¾®,200702,S2F1-S2F2,32.5,27.23,287,12,5.6,5.3,8017,1.662,32.2923
2ºÅ¾®,200703,S2F1-S2F2,32.5,30.19,282,12.6,5.7,5.4,8691,2.5311,33.1614
2ºÅ¾®,200704,S2F1-S2F2,32.5,29.16,295,11.6,6.2,5.8,8754,3.4065,34.0368
2ºÅ¾®,200705,S2F1-S2F2,32.5,31,297,12.9,7,6.7,9221,4.3286,34.9589
2ºÅ¾®,200706,S2F1-S2F2,32.5,29.22,298,12.5,6.1,5.9,8929,5.2215,35.8518
2ºÅ¾®,200707,S2F1-S2F2,32.5,31,305,12.7,7,6.7,9444,6.1659,36.7962
2ºÅ¾®,200708,S2F1-S2F2,32.5,30.18,316,12.2,5.8,5.5,9712,7.1371,37.7674
2ºÅ¾®,200709,S2F1-S2F2,32.5,30,301,12.2,5.7,4.9,9023,8.0394,38.6697
2ºÅ¾®,200710,S2F1-S2F2,32.5,30.21,304,13.1,5.5,4.9,9373,8.9767,39.607
2ºÅ¾®,200711,S2F1-S2F2,32.5,29.18,300,12,5.2,4.8,8916,9.8683,40.4986
2ºÅ¾®,200712,S2F1-S2F2,32.5,31,304,13,5.5,4.5,9439,10.8122,41.4425
2ºÅ¾®,200801,S2F1-S2F2,32.5,22.14,296,,,,6690,0.669,42.1115
2ºÅ¾®,200802,S2F1-S2F2,32.5,13.18,293,13.2,5.3,4.2,4032,1.0722,42.5147
2ºÅ¾®,200803,S2F1-S2F2,32.5,31,324,12.1,5.5,4.7,10058,2.078,43.5205
2ºÅ¾®,200804,S2F1-S2F2,32.5,29.21,352,13,7,6.1,10513,3.1293,44.5718
2ºÅ¾®,200805,S2F1-S2F2,32.5,30.18,351,13,6.7,5.8,10801,4.2094,45.6519
2ºÅ¾®,200806,S2F1-S2F2,32.5,29.2,341,12.6,5,3.8,10188,5.2282,46.6707
2ºÅ¾®,200807,S2F1-S2F2,32.5,30.15,311,12,5,3.7,9513,6.1795,47.622
2ºÅ¾®,200808,S2F1-S2F2,32.5,12.07,349,12.8,5.1,3.6,4286,6.6081,48.0506
2ºÅ¾®,200809,S2F1-S2F2,32.5,16.16,365,12.4,4.8,3.6,6089,7.217,48.6595
2ºÅ¾®,200810,S2F1-S2F2,32.5,30.22,360,12.3,4.7,3.4,11116,8.3286,49.7711
2ºÅ¾®,200811,S2F1-S2F2,32.5,29.22,383,12.1,5,4.1,11470,9.4756,50.9181
2ºÅ¾®,200812,S2F1-S2F2,32.5,30.18,366,12,4.7,3.7,11262,10.6018,52.0443
2ºÅ¾®,200901,S2F1-S2F2,32.5,1.02,353,12.5,4.6,3.6,382,0.0382,52.0825
2ºÅ¾®,200902,S2F1-S2F2,32.5,11.19,269,12.5,4,2.7,3174,0.3556,52.3999
2ºÅ¾®,200903,S2F1-S2F2,32.5,30.22,247,12.7,3.2,2.6,7624,1.118,53.1623
2ºÅ¾®,200904,S2F1-S2F2,32.5,27.23,245,12.3,2.8,2,6837,1.8017,53.846
2ºÅ¾®,200905,S2F1-S2F2,32.9,22.1,239,10.8,10.8,10.2,5368,2.3385,54.3828
2ºÅ¾®,200906,S2F1-S2F2,32.9,27.22,300,11.2,8,5.2,8387,3.1772,55.2215
2ºÅ¾®,200907,S2F1-S2F2,32.9,30.12,290,11.2,4.8,2.6,8833,4.0605,56.1048
2ºÅ¾®,200908,S2F1-S2F2,32.9,30.21,306,11.8,7.7,5.7,9438,5.0043,57.0486
2ºÅ¾®,200909,S2F1-S2F2,32.9,29.18,329,10.7,8,6.3,9797,5.984,58.0283
2ºÅ¾®,200910,S2F1-S2F2,32.9,30.08,299,11.5,8.1,6.8,9065,6.8905,58.9348
2ºÅ¾®,200911,S2F1-S2F2,32.9,29.21,290,11,7.8,6.7,8677,7.7582,59.8025
2ºÅ¾®,200912,S2F1-S2F2,32.9,29.02,310,12,4.5,3.4,9019,8.6601,60.7044
2ºÅ¾®,201001,S2F1-S2F2,32.9,30.21,307,12.4,4.6,3.5,9484,0.9484,61.6528
2ºÅ¾®,201002,S2F1-S2F2,32.9,27.17,309,12.5,4.4,3.6,8573,1.8057,62.5101
2ºÅ¾®,201003,S2F1-S2F2,32.9,30.19,306,12.4,4.6,2.9,9407,2.7464,63.4508
2ºÅ¾®,201004,S2F1-S2F2,32.9,29.23,319,12,4.2,2.7,9549,3.7013,64.4057
2ºÅ¾®,201005,S2F1-S2F2,32.9,30.23,306,12.6,5.2,3.9,9483,4.6496,65.354
2ºÅ¾®,201006,S2F1-S2F2,32.9,29.19,312,12.9,5.1,3.8,9284,5.578,66.2824
2ºÅ¾®,201007,S2F1-S2F2,32.9,31,314,12.7,5.1,4,9746,6.5526,67.257
2ºÅ¾®,201008,S2F1-S2F2,32.9,30.21,321,13,5.1,4.1,9912,7.5438,68.2482
2ºÅ¾®,201009,S2F1-S2F2,32.9,29.17,326,13.1,5.1,4.1,9690,8.5128,69.2172
2ºÅ¾®,201010,S2F1-S2F2,32.9,30.19,318,13.1,5.2,4.2,9803,9.4931,70.1975
2ºÅ¾®,201011,S2F1-S2F2,32.9,29.17,294,12.5,3.4,2.3,8729,10.366,71.0704
2ºÅ¾®,201012,S2F1-S2F2,32.9,29.22,301,12.8,3.6,2.8,8998,11.2658,71.9702
2ºÅ¾®,201101,S2F1-S2F2,32.9,29,183,11.7,4.1,3.5,5293,0.5293,72.4995
2ºÅ¾®,201102,S2F1-S2F2,32.9,22.2,421,12.1,5,4.2,9611,1.4904,73.4606
2ºÅ¾®,201103,S2F1-S2F2,32.9,30.21,438,12.1,6,4.9,13533,2.8437,74.8139
2ºÅ¾®,201104,S2F1-S2F2,32.9,29.23,432,12.1,6,4.9,12953,4.139,76.1092
2ºÅ¾®,201105,S2F1-S2F2,32.9,31,428,11.4,5.8,4.3,13256,5.4646,77.4348
2ºÅ¾®,201106,S2F1-S2F2,32.9,29.22,432,12.2,5.8,4.6,12921,6.7567,78.7269
2ºÅ¾®,201107,S2F1-S2F2,32.9,28.08,433,12.5,6.4,5.2,12263,7.983,79.9532
2ºÅ¾®,201108,S2F1-S2F2,32.9,26.08,398,11.7,5.5,4.1,10488,9.0318,81.002
2ºÅ¾®,201109,S2F1-S2F2,32.9,26.21,372,12,5.4,4.1,10000,10.0318,82.002
2ºÅ¾®,201110,S2F1-S2F2,32.9,30.22,429,12.1,8,6.5,13262,11.358,83.3282
2ºÅ¾®,201111,S2F1-S2F2,32.9,29.23,404,11,5.9,4.5,12108,12.5688,84.539
2ºÅ¾®,201112,S2F1-S2F2,32.9,30.16,340,12,6.2,5,10417,13.6105,85.5807
2ºÅ¾®,201201,S2F1-S2F2,32.9,30.23,335,11.5,6,4.5,10358,1.0358,86.6165
2ºÅ¾®,201202,S2F1-S2F2,32.9,28.21,330,11.6,5.6,4.4,9542,1.99,87.5707
2ºÅ¾®,201203,S2F1-S2F2,32.9,30.04,337,11.2,5.5,4.1,10177,3.0077,88.5884
2ºÅ¾®,201204,S2F1-S2F2,32.9,29.14,253,11.7,5.6,4.4,7471,3.7548,89.3355
2ºÅ¾®,201205,S2F1-S2F2,32.9,30.11,244,12.1,5,3.6,7423,4.4971,90.0778
2ºÅ¾®,201206,S2F1-S2F2,32.9,29.23,320,11.9,5.3,3.8,9573,5.4544,91.0351
2ºÅ¾®,201207,S2F1-S2F2,32.9,30.23,325,11.8,5.1,3.7,10060,6.4604,92.0411
2ºÅ¾®,201208,S2F1-S2F2,32.9,30.21,337,12,5,3.9,10409,7.5013,93.082
2ºÅ¾®,201209,S2F1-S2F2,32.9,29.21,334,12,4.6,3.4,9991,8.5004,94.0811
2ºÅ¾®,201210,S2F1-S2F2,32.9,30.23,330,11.8,4.6,3.4,10207,9.5211,95.1018
2ºÅ¾®,201211,S2F1-S2F2,32.9,29.23,335,11.8,4.7,3.3,10029,10.524,96.1047
2ºÅ¾®,201212,S2F1-S2F2,32.9,29.12,328,11.8,4.8,3.5,9681,11.4921,97.0728
2ºÅ¾®,201301,S2F1-S2F2,32.9,30.13,318,11.9,5.2,4,9724,0.9724,98.0452
2ºÅ¾®,201302,S2F1-S2F2,32.9,27.23,322,12,5.3,3.8,9014,1.8738,98.9466
2ºÅ¾®,201303,S2F1-S2F2,32.9,30.22,320,12.5,5.3,3.7,9879,2.8617,99.9345
2ºÅ¾®,201304,S2F1-S2F2,32.9,29.23,317,12.5,5.6,3.8,9498,3.8115,100.8843
2ºÅ¾®,201305,S2F1-S2F2,32.9,30.23,335,11.8,5.5,4.2,10368,4.8483,101.9211
2ºÅ¾®,201306,S2F1-S2F2,32.9,29.18,311,11.5,5.6,4.5,9251,5.7734,102.8462
2ºÅ¾®,201307,S2F1-S2F2,32.9,30.2,322,11.9,6,4.9,9943,6.7677,103.8405
2ºÅ¾®,201308,S2F1-S2F2,32.9,30.12,351,12.9,5.9,4.4,10692,7.8369,104.9097
2ºÅ¾®,201309,S2F1-S2F2,32.9,29.2,331,12,5.6,4.2,9862,8.8231,105.8959
2ºÅ¾®,201310,S2F1-S2F2,32.9,30.05,322,12.4,5.4,4.1,9724,9.7955,106.8683
2ºÅ¾®,201311,S2F1-S2F2,32.9,29.07,323,12.5,5.6,4.4,9461,10.7416,107.8144
2ºÅ¾®,201312,S2F1-S2F2,32.9,30.14,323,12.4,5.5,4.1,9876,11.7292,108.802
2ºÅ¾®,201401,S2F1-S2F2,32.9,28.13,349,12.6,4.9,3.3,9968,0.9968,109.7988
2ºÅ¾®,201402,S2F1-S2F2,32.9,27.22,354,12.7,4.7,3.1,9888,1.9856,110.7876
2ºÅ¾®,201403,S2F1-S2F2,32.9,30.23,371,13,5.5,4,11491,3.1347,111.9367
2ºÅ¾®,201404,S2F1-S2F2,32.9,29.18,340,12.7,6.4,5.1,10116,4.1463,112.9483
2ºÅ¾®,201405,S2F1-S2F2,32.9,30.23,351,12.5,5.5,4.2,10870,5.2333,114.0353
2ºÅ¾®,201406,S2F1-S2F2,32.9,29.22,373,13,6.2,5,11148,6.3481,115.1501
2ºÅ¾®,201407,S2F1-S2F2,32.9,30.23,379,13.1,5,3.7,11727,7.5208,116.3228
2ºÅ¾®,201408,S2F1-S2F2,32.9,30.23,384,12.9,6.1,4.7,11885,8.7093,117.5113
2ºÅ¾®,201409,S2F1-S2F2,32.9,29.16,291,11,6.5,5.2,8628,9.5721,118.3741
2ºÅ¾®,201410,S2F1-S2F2,32.9,30.22,379,11,6.2,4.6,11713,10.7434,119.5454
2ºÅ¾®,201411,S2F1-S2F2,32.9,29.21,398,11,7.4,6,11881,11.9315,120.7335
2ºÅ¾®,201412,S2F1-S2F2,32.9,30.23,461,10.6,7.2,5.6,14263,13.3578,122.1598
2ºÅ¾®,201501,S2F1-S2F2,32.9,30.23,454,12,6.7,5.3,14056,1.4056,123.5654
2ºÅ¾®,201502,S2F1-S2F2,32.9,27.23,453,11,6,4.5,12672,2.6728,124.8326
2ºÅ¾®,201503,S2F1-S2F2,32.9,30.23,429,11.4,6.6,4.8,13271,3.9999,126.1597
2ºÅ¾®,201504,S2F1-S2F2,32.9,29.18,380,11.5,5.5,3.4,11306,5.1305,127.2903
2ºÅ¾®,201505,S2F1-S2F2,32.9,30.23,386,11.7,5.1,3.4,11941,6.3246,128.4844
2ºÅ¾®,201506,S2F1-S2F2,32.9,29.23,310,11.4,4.4,2.4,9286,7.2532,129.413
2ºÅ¾®,201507,S2F1-S2F2,32.9,30.23,314,11,6.4,4.4,9726,8.2258,130.3856
2ºÅ¾®,201508,S2F1-S2F2,32.9,30.2,384,11.1,5.3,3.8,11832,9.409,131.5688
2ºÅ¾®,201509,S2F1-S2F2,32.9,29.23,395,12.5,5.4,3.7,11840,10.593,132.7528
2ºÅ¾®,201510,S2F1-S2F2,32.9,30.2,417,12.6,5.3,3.5,12870,11.88,134.0398
2ºÅ¾®,201511,S2F1-S2F2,32.9,27.22,447,12.2,5.3,3.9,12484,13.1284,135.2882
2ºÅ¾®,201512,S2F1-S2F2,32.9,30.08,450,12.1,6.2,4.6,13646,14.493,136.6528
2ºÅ¾®,201601,S2F1-S2F2,32.9,30.16,461,12.5,5.7,3.9,14131,1.4131,138.0659
2ºÅ¾®,201602,S2F1-S2F2,32.9,28.23,467,12.4,5.6,3.7,13537,2.7668,139.4196
2ºÅ¾®,201603,S2F1-S2F2,32.9,2.05,470,13,7.2,5.2,1039,2.8707,139.5235
2ºÅ¾®,201604,S2F1-S2F2,32.9,27.19,462,13.1,7.8,0,12826,4.1533,140.8061
2ºÅ¾®,201605,S2F1-S2F2,32.9,30.2,425,12.2,7.7,0,13110,5.4643,142.1171
2ºÅ¾®,201606,S2F1-S2F2,32.9,2.01,395,13.1,7.2,0,806,5.5449,142.1977
2ºÅ¾®,201607,S2F1-S2F2,32.9,23.09,142,12.8,8.2,0,3324,5.8773,142.5301
2ºÅ¾®,201608,S2F1-S2F2,32.9,30,450,12.9,10.1,0,13504,7.2277,143.8805
2ºÅ¾®,201609,S2F1-S2F2,32.9,29.23,454,13.1,7.1,0,13599,8.5876,145.2404
2ºÅ¾®,201610,S2F1-S2F2,32.9,30.23,435,13.3,9.9,0,13477,9.9353,146.5881
2ºÅ¾®,201611,S2F1-S2F2,32.9,29.21,423,13,12.7,0,12645,11.1998,147.8526
2ºÅ¾®,201612,S2F1-S2F2,32.9,30.23,441,12.8,10.7,0,13651,12.5649,149.2177
2ºÅ¾®,201701,S2F1-S2F2,32.9,31,445,13,11.1,0,13781,1.3781,150.5958
2ºÅ¾®,201702,S2F1-S2F2,32.9,27.23,446,12.9,9.6,0,12482,2.6263,151.844
2ºÅ¾®,201703,S2F1-S2F2,32.9,30.21,326,12.9,12.9,0,10052,3.6315,152.8492
2ºÅ¾®,201704,S2F1-S2F2,32.9,28.07,276,12.5,12.5,12.5,7803,4.4118,153.6295
2ºÅ¾®,201705,S2F1-S2F2,32.9,29.19,194,12.6,12.6,12.6,5766,4.9884,154.2061
2ºÅ¾®,201706,S2F1-S2F2,32.9,29.15,169,11.6,7.5,7.3,4998,5.4882,154.7059
2ºÅ¾®,201707,S2F1-S2F2,32.9,30.05,251,13.1,5.4,4.7,7579,6.2461,155.4638
2ºÅ¾®,201708,S2F1-S2F2,32.9,30.17,182,12.3,6.1,6.1,5598,6.8059,156.0236
2ºÅ¾®,201709,S2F1-S2F2,32.9,29.17,181,12.7,5.7,5.7,5369,7.3428,156.5605
2ºÅ¾®,201710,S2F1-S2F2,32.9,31,172,12.7,6.1,6.1,5318,7.8746,157.0923
2ºÅ¾®,201711,S2F1-S2F2,32.9,29.1,460,12.4,8.2,8.2,13527,9.2273,158.445
2ºÅ¾®,201712,S2F1-S2F2,32.9,29.19,342,12.6,7.5,7.5,10189,10.2462,159.4639
2ºÅ¾®,201801,S2F1-S2F2,32.9,30.01,471,12.4,7,7,14160,1.416,160.8799
2ºÅ¾®,201802,S2F1-S2F2,32.9,27.18,445,12.8,7,7,12338,2.6498,162.1137
2ºÅ¾®,201803,S2F1-S2F2,32.9,31,443,12.8,7.4,7.4,13733,4.0231,163.487
2ºÅ¾®,201804,S2F1-S2F2,32.9,30,467,13,7.6,7.6,13995,5.4226,164.8865
2ºÅ¾®,201805,S2F1-S2F2,32.9,30.14,495,12.5,9.3,9.3,15129,6.9355,166.3994
2ºÅ¾®,201806,S2F1-S2F2,32.9,29.13,430,12.4,8.2,8.2,12696,8.2051,167.669
2ºÅ¾®,201807,S2F1-S2F2,32.9,30.03,468,12.4,8.8,8.8,14105,9.6156,169.0795
2ºÅ¾®,201808,S2F1-S2F2,32.9,28.19,476,12.6,8.6,8.6,13706,10.9862,170.4501
2ºÅ¾®,201809,S2F1-S2F2,32.9,29.21,445,12.1,9.9,9.9,13296,12.3158,171.7797
2ºÅ¾®,201810,S2F1-S2F2,32.9,29.2,436,11.6,8.5,8.5,12996,13.6154,173.0793
2ºÅ¾®,201811,S2F1-S2F2,32.9,29.13,442,11,9.9,9.9,13043,14.9197,174.3836
2ºÅ¾®,201812,S2F1-S2F2,32.9,30.18,443,11.7,9.7,9.7,13628,16.2825,175.7464
2ºÅ¾®,201901,S2F1-S2F2,32.9,31,290,11.7,6.3,5.7,8986,0.8986,176.645
2ºÅ¾®,201902,S2F1-S2F2,32.9,28,189,11.1,5.9,5.4,5291,1.4277,177.1741
2ºÅ¾®,201903,S2F1-S2F2,32.9,17.08,192,11.5,4.6,4,3332,1.7609,177.5073
2ºÅ¾®,201904,S2F1-S2F2,32.9,16.04,304,12.3,11.4,0,4921,2.253,177.9994
2ºÅ¾®,201905,S2F1-S2F2,32.9,30.07,391,12.5,12.5,0,11834,3.4364,179.1828
2ºÅ¾®,201906,S2F1-S2F2,32.9,29.22,433,12.9,12.9,0,12954,4.7318,180.4782
2ºÅ¾®,201907,S2F1-S2F2,32.9,30.19,388,12.9,12.2,0,11958,5.9276,181.674
2ºÅ¾®,201908,S2F1-S2F2,32.9,30.15,339,12.5,12.5,0,10396,6.9672,182.7136
2ºÅ¾®,201909,S2F1-S2F2,32.9,29.17,339,12.6,12.6,0,10072,7.9744,183.7208
2ºÅ¾®,201910,S2F1-S2F2,32.9,31,338,12.8,12.8,0,10476,9.022,184.7684
2ºÅ¾®,201911,S2F1-S2F2,32.9,29.21,348,12.8,12.8,0,10404,10.0624,185.8088
2ºÅ¾®,201912,S2F1-S2F2,32.9,30.2,344,12.1,12.1,0,10604,11.1228,186.8692
2ºÅ¾®,202001,S2F1-S2F2,32.9,31,347,12.8,12.8,0,10766,1.0766,187.9458
2ºÅ¾®,202002,S2F1-S2F2,32.9,28.22,352,12.8,12.8,0,10192,2.0958,188.965
2ºÅ¾®,202003,S2F1-S2F2,32.9,30.22,364,12.8,11.3,0,11248,3.2206,190.0898
2ºÅ¾®,202004,S2F1-S2F2,32.9,20.18,331,12.8,10.7,0,6863,3.9069,190.7761
2ºÅ¾®,202005,S2F1-S2F2,32.9,30.21,378,12.5,12.5,0,11660,5.0729,191.9421
2ºÅ¾®,202006,S2F1-S2F2,32.9,29.23,363,12.7,10.7,0,10862,6.1591,193.0283
2ºÅ¾®,202007,S2F1-S2F2,32.9,30.19,353,12.8,11.1,0,10877,7.2468,194.116
2ºÅ¾®,202008,S2F1-S2F2,32.9,30.11,333,12.5,12.5,0,10149,8.2617,195.1309
2ºÅ¾®,202009,S2F1-S2F2,32.9,29.11,366,12.9,11.6,0,10779,9.3396,196.2088
2ºÅ¾®,202010,S2F1-S2F2,32.9,31,363,12.8,12.8,0,11244,10.464,197.3332
2ºÅ¾®,202011,S2F1-S2F2,32.9,30,336,13.1,13.1,0,10069,11.4709,198.3401
2ºÅ¾®,202012,S2F1-S2F2,32.9,31,320,12,12,0,9926,12.4635,199.3327
2ºÅ¾®,202101,S2F1-S2F2,32.9,30.21,328,13.1,7.8,0,10135,1.0135,200.3462
2ºÅ¾®,202102,S2F1-S2F2,32.9,27.23,349,12.7,12.3,0,9756,1.9891,201.3218
2ºÅ¾®,202103,S2F1-S2F2,32.9,30.17,336,12.52,7.83,0,10318,3.0209,202.3536
2ºÅ¾®,202104,S2F1-S2F2,32.9,30,311,12.16,8.67,0,9337,3.9546,203.2873
2ºÅ¾®,202105,S2F1-S2F2,32.9,31,336,12.19,8.37,0,10402,4.9948,204.3275
2ºÅ¾®,202106,S2F1-S2F2,32.9,30,329,12.36,7.6,0,9861,5.9809,205.3136
2ºÅ¾®,202107,S2F1-S2F2,32.9,31,287,11.92,10.06,0,8894,6.8703,206.203
2ºÅ¾®,202108,S2F1-S2F2,32.9,29,326,12.31,6.11,0,9448,7.8151,207.1478
2ºÅ¾®,202109,S2F1-S2F2,32.9,30,344,11.83,10.68,0,10311,8.8462,208.1789
2ºÅ¾®,202110,S2F1-S2F2,32.9,31,281,13.38,12.61,0,8701,9.7163,209.049
2ºÅ¾®,202111,S2F1-S2F2,32.9,29.08,289,12.79,11.58,0,8465,10.5628,209.8955
2ºÅ¾®,202112,S2F1-S2F2,32.9,31,310,12.43,11.4,0,9616,11.5244,210.8571
4ºÅ¾®,200202,S2F2S2F-S2F2,14.4,17.22,68,12.4,12.2,12.4,1219,0.1219,0.1219
4ºÅ¾®,200203,S2F2S2F-S2F2,14.4,29.15,60,12.4,11.8,12,1786,0.3005,0.3005
4ºÅ¾®,200204,S2F2S2F-S2F2,14.4,30,29,11.6,11.4,11.6,881,0.3886,0.3886
4ºÅ¾®,200205,S2F2S2F-S2F2,14.4,30.19,84,11.9,12.2,13.2,2596,0.6482,0.6482
4ºÅ¾®,200206,S2F2S2F-S2F2,14.4,30,85,11.3,12.2,13.2,2558,0.904,0.904
4ºÅ¾®,200207,S2F2S2F-S2F2,14.4,29.11,84,11.3,10.5,11.5,2484,1.1524,1.1524
