井号,起始日期,层位,砂层组,层号,细分小层号,生产井段（m）,射孔厚度(m),终止日期（生产这个层段的末期时间）
5号井,2001-09-11,Es2x,F,2,,2693.00 - 2699.00,6,
5号井,2000-05-11,Es2x,F,3,,2722.50 - 2734.00,11.5,2001-09-10
6号井,2017-10-19,Es2x,F,2,,2705.20 - 2715.70,10.5,
6号井,2014-03-06,Es2x,F,3,,2732.00 - 2736.00,4,2017-10-18
6号井,2001-06-20,Es2x,F,2,,2705.20 - 2715.70,10.5,2014-03-05
6号井,2001-06-20,Es2x,F,3,,2732.00 - 2736.00,4,2014-03-05
6号井,2001-06-20,Es2x,F,3,,2739.00 - 2745.00,6,2014-03-05
6号井,2001-06-02,Es2x,F,2,,2705.20 - 2715.70,10.5,2001-06-09
7号井,2017-06-24,Es2x,F,2,,2726.50 - 2735.00,8.5,
7号井,2017-06-24,Es2x,F,2,,2739.00 - 2744.00,5,
7号井,2017-06-24,Es2x,F,2,,2752.00 - 2756.00,4,
7号井,2012-02-27,Es2x,F,2,,2726.50 - 2735.00,8.5,2017-06-17
7号井,2012-02-27,Es2x,F,2,,2739.00 - 2744.00,5,2017-06-17
7号井,2012-02-27,Es2x,F,2,,2752.00 - 2756.00,4,2017-06-17
7号井,2002-06-09,Es2x,F,2,,2726.50 - 2735.00,8.5,2012-02-10
7号井,2002-06-09,Es2x,F,2,,2739.00 - 2744.00,5,2012-02-10
7号井,2002-06-09,Es2x,F,3,,2764.80 - 2779.00,14.2,2012-02-10
7号井,2001-10-03,Es2x,F,2,,2726.50 - 2735.00,8.5,2002-06-05
7号井,2001-10-03,Es2x,F,2,,2739.00 - 2744.00,5,2002-06-05
7号井,2001-08-20,Es2x,F,2,,2726.50 - 2735.00,8.5,2001-09-27
7号井,2001-08-20,Es2x,F,2,,2739.00 - 2744.00,5,2001-09-27
8号井,2002-06-09,Es2x,F,2,,2757.10 - 2763.00,5.9,
8号井,2002-06-09,Es2x,F,2,,2763.00 - 2768.00,5,
8号井,2002-06-09,Es2x,F,2,,2768.00 - 2777.00,9,
8号井,2002-06-09,Es2x,F,3,,2800.00 - 2812.00,12,
8号井,2001-09-16,Es2x,F,2,,2757.10 - 2763.00,5.9,2002-06-06
8号井,2001-09-16,Es2x,F,2,,2763.00 - 2768.00,5,2002-06-06
8号井,2001-08-12,Es2x,F,2,,2757.10 - 2763.00,5.9,2001-09-15
8号井,2001-08-12,Es2x,F,2,,2763.00 - 2768.00,5,2001-09-15
8号井,2001-07-11,Es2x,F,2,,2757.10 - 2763.00,5.9,2001-08-09
9号井,2004-11-13,Es2x,F,2+3,,2532.00 - 2544.00,12,
9号井,2003-04-01,Es2x,F,2+3,,2532.00 - 2544.00,12,2004-07-19
9号井,2002-12-18,Es2x,F,4,,2549.80 - 2555.00,5.2,2003-03-02
9号井,2002-12-18,Es2x,F,3,,2559.00 - 2562.00,3,2003-03-02
9号井,2002-12-18,Es2x,F,3,,2565.00 - 2575.00,10,2003-03-02
9号井,2002-06-27,Es2x,F,4,,2549.80 - 2555.00,5.2,2002-12-13
9号井,2002-06-27,Es2x,F,3,,2559.00 - 2562.00,3,2002-12-13
9号井,2002-06-27,Es2x,F,3,,2565.00 - 2575.00,10,2002-12-13
9号井,2002-02-10,Es2x,F,4,,2549.80 - 2555.00,5.2,2002-06-01
9号井,2002-02-10,Es2x,F,3,,2559.00 - 2562.00,3,2002-06-01
9号井,2002-02-10,Es2x,F,3,,2565.00 - 2575.00,10,2002-06-01
9号井,2001-12-22,Es2x,F,4,,2549.80 - 2555.00,5.2,2002-01-07
10号井,2008-12-25,Es2x,F,2,,2482.70 - 2490.00,7.3,
10号井,2008-12-25,Es2x,F,2,,2494.00 - 2503.30,9.3,
10号井,2008-12-25,Es2x,F,4,,2539.20 - 2541.00,1.8,
10号井,2008-12-25,Es2x,F,4,,2541.50 - 2545.50,4,
10号井,2007-09-01,Es2x,F,2,,2482.70 - 2490.00,7.3,2008-12-24
10号井,2007-09-01,Es2x,F,2,,2494.00 - 2503.30,9.3,2008-12-24
10号井,2007-09-01,Es2x,F,4,,2539.20 - 2541.00,1.8,2008-12-24
10号井,2007-09-01,Es2x,F,4,,2541.50 - 2545.50,4,2008-12-24
10号井,2001-11-05,Es2x,F,2,,2482.70 - 2490.00,7.3,2007-08-31
10号井,2001-11-05,Es2x,F,2,,2494.00 - 2503.30,9.3,2007-08-31
11号井,2022-07-03,Es2x,F,3,,2668.30 - 2671.80,3.5,
11号井,2000-06-02,Es2x,F,2,,2620.00 - 2638.00,18,2022-07-02
12号井,2012-11-30,Es2x,F,2,,2544.60 - 2547.50,2.9,
12号井,2012-11-30,Es2x,F,2,,2551.90 - 2554.60,2.7,
13号井,2008-08-09,Es2x,F,2,,2712.50 - 2760.00,47.5,
13号井,2008-08-09,Es2x,F,2,,2870.00 - 2906.20,36.2,
14号井,2023-02-12,Es2x,F,2,1,2589.00 - 2601.00,,
14号井,2008-12-09,Es2x,F,3,,2714.86 - 2771.21,56.35,2023-02-11
14号井,2008-12-09,Es2x,F,3,,2782.35 - 2901.14,118.79,2023-02-11
15号井,2018-09-12,Es2x,F,2,,2660.50 - 2664.60,4.1,
15号井,2018-09-12,Es2x,F,2,,2672.00 - 2678.00,6,
15号井,2018-09-12,Es2x,F,5,,2731.00 - 2739.00,8,
15号井,2018-09-12,Es2x,F,5,,2741.00 - 2747.00,6,
15号井,2016-10-30,Es2x,F,2,,2660.50 - 2664.60,4.1,2018-09-11
15号井,2016-10-30,Es2x,F,2,,2672.00 - 2672.90,0.9,2018-09-11
15号井,2016-10-30,Es2x,F,2,,2674.10 - 2675.10,1,2018-09-11
15号井,2016-10-30,Es2x,F,5,,2731.00 - 2739.00,8,2018-09-11
15号井,2016-10-30,Es2x,F,5,,2741.00 - 2747.00,6,2018-09-11
15号井,2011-05-04,Es2x,F,2,,2660.50 - 2664.60,4.1,2016-10-23
15号井,2011-05-04,Es2x,F,2,,2672.00 - 2672.90,0.9,2016-10-23
15号井,2011-05-04,Es2x,F,2,,2674.10 - 2675.10,1,2016-10-23
15号井,2011-05-04,Es2x,F,5,,2731.00 - 2739.00,8,2016-10-23
15号井,2011-05-04,Es2x,F,5,,2741.00 - 2747.00,6,2016-10-23
15号井,2008-12-07,Es2x,F,2,,2660.50 - 2664.60,4.1,2011-04-28
15号井,2008-12-07,Es2x,F,2,,2672.00 - 2672.90,0.9,2011-04-28
15号井,2008-12-07,Es2x,F,2,,2674.10 - 2675.10,1,2011-04-28
15号井,2008-12-07,Es2x,F,5,,2731.00 - 2739.00,8,2011-04-28
15号井,2008-10-31,Es2x,F,2,,2660.50 - 2664.60,4.1,2008-12-06
15号井,2008-10-31,Es2x,F,2,,2672.00 - 2672.90,0.9,2008-12-06
15号井,2008-10-31,Es2x,F,2,,2674.10 - 2675.10,1,2008-12-06
15号井,2008-10-31,Es2x,F,5,,2731.00 - 2739.00,8,2008-12-06
16号井,2010-07-22,Es2x,F,2,,2724.40 - 2727.00,2.6,
16号井,2010-07-22,Es2x,F,2,,2739.00 - 2741.50,2.5,
16号井,2010-07-22,Es2x,F,2,,2745.40 - 2747.20,1.8,
16号井,2008-02-18,Es2x,F,2,,2724.40 - 2727.00,2.6,2010-07-21
16号井,2008-02-18,Es2x,F,2,,2739.00 - 2741.50,2.5,2010-07-21
16号井,2008-02-18,Es2x,F,2,,2745.40 - 2747.20,1.8,2010-07-21
17号井,2019-05-28,Es2x,F,2,2,2767.00 - 2774.00,7,
17号井,2019-05-28,Es2x,F,2,3,2785.50 - 2786.30,0.8,
17号井,2019-05-28,Es2x,F,2,3,2787.40 - 2788.50,1.1,
17号井,2019-05-28,Es2x,F,2,3,2789.80 - 2791.50,1.7,
17号井,2019-05-28,Es2x,F,2,3,2794.50 - 2795.60,1.1,
17号井,2008-12-12,Es2x,F,2,,2785.50 - 2786.30,0.8,2019-05-27
17号井,2008-12-12,Es2x,F,2,,2787.40 - 2788.50,1.1,2019-05-27
17号井,2008-12-12,Es2x,F,2,,2789.80 - 2791.50,1.7,2019-05-27
17号井,2008-12-12,Es2x,F,2,,2794.50 - 2795.60,1.1,2019-05-27
17号井,2008-10-31,Es2x,F,2,,2785.50 - 2786.30,0.8,2008-12-11
17号井,2008-10-31,Es2x,F,2,,2787.40 - 2788.50,1.1,2008-12-11
17号井,2008-10-31,Es2x,F,2,,2789.80 - 2791.50,1.7,2008-12-11
17号井,2008-10-31,Es2x,F,2,,2794.50 - 2795.60,1.1,2008-12-11
18号井,2020-11-06,Es2x,F,2,1,2788.90 - 2795.90,7,
18号井,2020-11-06,Es2x,F,2,2,2800.00 - 2804.00,4,
18号井,2014-07-07,Es2x,F,5,,2880.00 - 2886.00,6,2020-11-05
19号井,2023-08-07,Es2x,F,1,1,2659.30 - 2665.90,6.6,
19号井,2023-08-07,Es2x,F,1,3,2677.50 - 2686.50,9,
19号井,2023-08-07,Es2x,F,2,1,2716.20 - 2728.70,12.5,
19号井,2023-08-07,Es2x,F,2,2,2732.00 - 2739.50,7.5,
19号井,2023-08-07,Es2x,F,2,3,2741.70 - 2749.30,7.6,
20号井,2022-08-21,Es2x,F,2,1,2631.40 - 2636.00,4.6,
21号井,2022-10-30,Es2x,F,2,1,2806.00 - 2814.30,8.3,
21号井,2022-10-30,Es2x,F,3,1,2834.10 - 2862.00,27.9,
21号井,2022-10-30,Es2x,F,4,1,2865.40 - 2869.30,3.9,
21号井,2022-10-30,Es2x,F,4,2,2870.10 - 2878.40,8.3,
22号井,2022-08-20,Es2x,F,2,1,2745.70 - 2755.00,9.3,
22号井,2022-08-20,Es2x,F,2,2,2764.00 - 2773.00,9,
23号井,2024-12-20,Es2,15,2,1,2600.00 - 2603.10,3.1,
23号井,2022-10-30,Es2x,F,2,1,2600.00 - 2603.10,3.1,2024-12-19
23号井,2022-10-07,Es2x,F,2,3,2622.00 - 2624.00,2,2022-10-29
23号井,2022-10-07,Es2x,F,2,4,2632.00 - 2634.00,2,2022-10-29
24号井,2022-09-25,Es2x,F,2,1,2727.10 - 2729.90,2.8,
24号井,2022-09-25,Es2x,F,2,1,2736.00 - 2738.00,2,
25号井,2023-11-28,Es2x,F,2,1,2659.00 - 2663.00,4,
26号井,2022-09-07,Es2x,F,2,,2748.30 - 2751.00,2.7,
26号井,2022-09-07,Es2x,F,2,,2751.00 - 2761.50,10.5,
26号井,2022-09-07,Es2x,F,3,1,2781.50 - 2793.60,12.1,
26号井,2018-10-03,Es2x,F,2,,2748.30 - 2751.00,2.7,2022-09-06
26号井,2018-10-03,Es2x,F,6,,2876.40 - 2879.20,2.8,2022-09-06
26号井,2015-06-21,Es2x,F,6,,2876.40 - 2879.20,2.8,2018-10-02
26号井,2001-01-01,Es2x,F,3,,2781.50 - 2792.00,10.5,2015-06-20
27号井,2025-02-24,Es2x,15,2,1,2643.00 - 2646.00,3,
27号井,2023-11-21,Es2x,F,4,2,2713.30 - 2714.60,1.3,2025-02-23
27号井,2023-11-21,Es2x,F,4,2,2715.80 - 2716.80,1,2025-02-23
27号井,2023-11-21,Es2x,F,5,1,2723.30 - 2724.90,1.6,2025-02-23
27号井,2023-11-21,Es2x,F,6,,2750.40 - 2752.80,2.4,2025-02-23
27号井,2023-11-21,Es2x,F,6,,2754.90 - 2758.30,3.4,2025-02-23
28号井,2022-11-13,Es2x,F,2,1,2617.90 - 2624.00,6.1,
28号井,2022-11-13,Es2x,F,2,2,2628.00 - 2633.50,5.5,
29号井,2022-09-19,Es2x,F,2,1,2532.00 - 2534.00,2,
29号井,2022-09-19,Es2x,F,2,2,2537.90 - 2540.80,2.9,
29号井,2022-09-19,Es2x,F,6,,2620.30 - 2627.00,6.7,
30号井,2024-01-08,Es2x,F,2,1,2801.00 - 2808.50,7.5,
30号井,2023-03-20,Es2x,F,5,2,2892.80 - 2898.00,5.2,2024-01-07
30号井,2023-03-20,Es2x,F,5,3,2906.90 - 2910.00,3.1,2024-01-07
30号井,2022-06-09,Es2x,F,5,2,2892.80 - 2898.00,5.2,2023-03-19
31号井,2022-08-19,Es2x,F,2,1,2698.50 - 2704.00,5.5,
31号井,2022-08-19,Es2x,F,5,2,2768.00 - 2773.00,5,
32号井,2008-09-11,Es2x,F,2,,2618.00 - 2625.80,7.8,
32号井,2008-09-11,Es2x,F,2,,2634.00 - 2636.70,2.7,
32号井,2008-09-11,Es2x,F,2,,2639.00 - 2653.40,14.4,
32号井,2007-11-20,Es2x,F,2,,2634.00 - 2636.70,2.7,2008-09-02
32号井,2007-11-20,Es2x,F,2,,2639.00 - 2653.40,14.4,2008-09-02
32号井,2007-08-03,Es2x,F,2,,2618.00 - 2625.80,7.8,2007-11-11
32号井,2007-08-03,Es2x,F,2,,2634.00 - 2636.70,2.7,2007-11-11
32号井,2007-08-03,Es2x,F,2,,2639.00 - 2653.40,14.4,2007-11-11
32号井,2000-12-17,Es2x,F,2,,2634.00 - 2636.70,2.7,2007-07-29
32号井,2000-12-17,Es2x,F,2,,2639.00 - 2653.40,14.4,2007-07-29
33号井,2023-05-05,Es2x,F,2,1,2568.10 - 2576.30,8.2,
33号井,2023-05-05,Es2x,F,2,2,2584.50 - 2587.00,2.5,
33号井,2023-05-05,Es2x,F,2,3,2590.80 - 2593.50,2.7,
33号井,2023-05-05,Es2x,F,2,3,2598.40 - 2601.00,2.6,
33号井,2011-04-05,Es2x,F,2,1,2568.10 - 2576.30,8.2,2023-05-04
33号井,2011-04-05,Es2x,F,2,2,2584.50 - 2587.00,2.5,2023-05-04
33号井,2011-04-05,Es2x,F,2,3,2590.80 - 2593.50,2.7,2023-05-04
33号井,2011-04-05,Es2x,F,2,3,2598.40 - 2601.00,2.6,2023-05-04
33号井,2003-07-12,Es2x,F,2,,2568.10 - 2576.30,8.2,2011-04-04
33号井,2003-07-12,Es2x,F,2,,2584.50 - 2587.00,2.5,2011-04-04
33号井,2003-07-12,Es2x,F,2,,2590.80 - 2593.50,2.7,2011-04-04
33号井,2003-07-12,Es2x,F,2,,2598.40 - 2601.00,2.6,2011-04-04
33号井,2003-07-12,Es2x,F,5,,2647.00 - 2652.00,5,2011-04-04
33号井,2003-07-12,Es2x,F,5,,2652.00 - 2658.00,6,2011-04-04
33号井,2002-04-15,Es2x,F,2,,2568.10 - 2576.30,8.2,2003-07-08
33号井,2002-04-15,Es2x,F,5,,2647.00 - 2652.00,5,2003-07-08
33号井,2002-04-15,Es2x,F,5,,2652.00 - 2658.00,6,2003-07-08
33号井,2000-12-20,Es2x,F,2,,2568.10 - 2576.30,8.2,2002-04-11
33号井,2000-12-20,Es2x,F,5,,2647.00 - 2652.00,5,2002-04-11
33号井,2000-11-28,Es2x,F,5,,2647.00 - 2652.00,5,2000-12-17
34号井,2021-06-30,Es2s,F,2,1,2517.30 - 2519.30,2,
34号井,2017-06-11,Es2x,F,6,,2620.00 - 2624.60,4.6,2021-06-29
34号井,2006-12-25,Es2x,F,2,,2517.80 - 2523.00,5.2,2017-06-10
34号井,2006-12-25,Es2x,F,6,,2620.00 - 2622.50,2.5,2017-06-10
34号井,2006-10-27,Es2x,F,6,,2620.00 - 2622.50,2.5,2006-12-24
35号井,2007-07-04,Es2x,F,2,,2684.00 - 2697.00,13,
35号井,2007-07-04,Es2x,F,2,,2703.00 - 2709.00,6,
35号井,2001-08-11,Es2x,F,2,,2684.00 - 2697.00,13,2007-07-03
35号井,2000-12-28,Es2x,F,2,,2684.00 - 2697.00,13,2001-08-10
36号井,2006-09-19,Es2x,F,2,,2688.00 - 2697.00,9,
36号井,2006-09-19,Es2x,F,2,,2702.00 - 2707.00,5,
36号井,2006-09-19,Es2x,F,2,,2713.60 - 2715.00,1.4,
36号井,2006-09-19,Es2x,F,2,,2716.50 - 2719.50,3,
36号井,2004-05-11,Es2x,F,2,,2688.00 - 2697.00,9,2006-09-18
36号井,2004-05-11,Es2x,F,2,,2702.00 - 2707.00,5,2006-09-18
36号井,2004-05-11,Es2x,F,3,,2729.40 - 2736.00,6.6,2006-09-18
36号井,2001-07-26,Es2x,F,2,,2688.00 - 2697.00,9,2004-05-10
36号井,2001-07-26,Es2x,F,3,,2729.40 - 2736.00,6.6,2004-05-10
36号井,2001-02-26,Es2x,F,3,,2729.40 - 2736.00,6.6,2001-07-25
37号井,2006-04-05,Es2x,F,2,,2621.60 - 2629.00,7.4,
37号井,2006-04-05,Es2x,F,2,,2633.00 - 2652.00,19,
37号井,2001-12-10,Es2x,F,2,,2621.60 - 2629.00,7.4,2006-04-04
37号井,2001-12-10,Es2x,F,2,,2633.00 - 2652.00,19,2006-04-04
37号井,2001-12-10,Es2x,F,3,,2664.90 - 2674.00,9.1,2006-04-04
37号井,2001-04-14,Es2x,F,3,,2664.90 - 2674.00,9.1,2001-12-09
38号井,2002-01-22,Es2x,F,1,,2643.00 - 2647.90,4.9,
38号井,2002-01-22,Es2x,F,1,,2649.30 - 2650.90,1.6,
38号井,2002-01-22,Es2x,F,2,2,2707.00 - 2718.00,11,
38号井,2000-12-06,Es2x,F,1,,2643.00 - 2647.90,4.9,2002-01-21
38号井,2000-12-06,Es2x,F,1,,2649.30 - 2650.90,1.6,2002-01-21
38号井,2000-12-06,Es2x,F,2,,2707.00 - 2718.00,11,2002-01-21
38号井,2000-02-27,Es2x,F,2,,2707.00 - 2718.00,11,2000-12-03
39号井,2002-03-06,Es2x,F,2,,2820.30 - 2830.00,9.7,
39号井,2001-08-16,Es2x,F,2,,2820.30 - 2830.00,9.7,2002-03-05
40号井,2001-12-30,Es2x,F,2,,2844.10 - 2850.00,5.9,
40号井,2001-12-30,Es2x,F,2,,2850.00 - 2857.00,7,
40号井,2001-12-30,Es2x,F,3,,2878.00 - 2884.00,6,
40号井,2001-11-28,Es2x,F,2,,2844.10 - 2850.00,5.9,2001-12-29
41号井,2009-08-14,Es2x,F,2,,2757.80 - 2761.00,3.2,
41号井,2009-08-14,Es2x,F,2,,2761.00 - 2764.00,3,
41号井,2009-08-14,Es2x,F,3,,2795.00 - 2799.00,4,
41号井,2006-03-20,Es2x,F,2,,2757.80 - 2761.00,3.2,2009-07-31
41号井,2006-03-20,Es2x,F,3,,2795.00 - 2799.00,4,2009-07-31
41号井,2002-02-21,Es2x,F,3,,2795.00 - 2799.00,4,2006-03-09
42号井,2003-08-10,Es2x,F,1,,2553.30 - 2556.50,3.2,
42号井,2003-08-10,Es2x,F,2,,2577.40 - 2596.00,18.6,
42号井,2003-08-10,Es2x,F,2,,2604.00 - 2610.00,6,
42号井,2002-04-16,Es2x,F,1,,2553.30 - 2556.50,3.2,2003-08-02
42号井,2002-04-16,Es2x,F,2,,2577.40 - 2596.00,18.6,2003-08-02
42号井,2001-06-18,Es2x,F,2,,2577.40 - 2596.00,18.6,2002-04-09
43号井,2004-07-04,Es2x,F,2,,2571.30 - 2575.00,3.7,
43号井,2004-07-04,Es2x,F,2,,2580.00 - 2590.00,10,
43号井,2004-07-04,Es2x,F,3,,2606.50 - 2617.00,10.5,
43号井,2004-07-04,Es2x,F,3,,2621.00 - 2624.40,3.4,
43号井,2004-07-04,Es2x,F,3,,2626.40 - 2628.70,2.3,
43号井,2001-10-26,Es2x,F,2,,2571.30 - 2575.00,3.7,2004-07-03
43号井,2001-10-26,Es2x,F,2,,2580.00 - 2590.00,10,2004-07-04
43号井,2001-07-21,Es2x,F,3,,2606.50 - 2617.00,10.5,2001-10-25
43号井,2001-07-21,Es2x,F,3,,2621.00 - 2624.40,3.4,2001-10-25
43号井,2001-07-21,Es2x,F,3,,2626.40 - 2628.70,2.3,2001-10-25
44号井,2002-03-01,Es2x,F,2,,2508.00 - 2524.00,16,
44号井,2002-03-01,Es2x,F,2,,2530.00 - 2536.00,6,
44号井,2002-01-23,Es2x,F,2,,2508.00 - 2524.00,16,2002-02-28
44号井,2002-01-23,Es2x,F,2,,2530.00 - 2536.00,6,2002-02-28
45号井,2005-05-18,Es2x,F,2,,2529.00 - 2532.00,3,
45号井,2005-05-18,Es2x,F,2,,2535.80 - 2539.20,3.4,
45号井,2005-05-18,Es2x,F,2,,2546.00 - 2548.00,2,
45号井,2002-08-16,Es2x,F,2,,2529.00 - 2532.00,3,2005-05-17
45号井,2002-08-16,Es2x,F,2,,2535.80 - 2539.20,3.4,2005-05-17
45号井,2002-08-16,Es2x,F,2,,2546.00 - 2548.00,2,2005-05-17
45号井,2002-01-23,Es2x,F,2,,2529.00 - 2532.00,3,2002-08-15
45号井,2002-01-23,Es2x,F,2,,2535.80 - 2539.20,3.4,2002-08-15
45号井,2002-01-23,Es2x,F,2,,2546.00 - 2548.00,2,2002-08-15
46号井,2016-04-08,Es2x,F,2,,2509.50 - 2516.00,6.5,
46号井,2016-04-08,Es2x,F,2,,2516.00 - 2520.00,4,
46号井,2016-04-08,Es2x,F,2,,2527.50 - 2532.00,4.5,
46号井,2003-07-20,Es2x,F,2,,2509.50 - 2516.00,6.5,2016-03-20
46号井,2003-07-20,Es2x,F,2,,2516.00 - 2520.00,4,2016-03-20
46号井,2002-03-04,Es2x,F,2,,2509.50 - 2516.00,6.5,2003-07-13
47号井,2006-06-14,Es2x,F,2,,2567.00 - 2570.50,3.5,
47号井,2006-06-14,Es2x,F,2,,2573.30 - 2577.60,4.3,
47号井,2006-06-14,Es2x,F,2,,2586.10 - 2590.10,4,
47号井,2006-06-14,Es2x,F,2,,2595.00 - 2599.00,4,
47号井,2006-02-18,Es2x,F,2,,2567.00 - 2570.50,3.5,2006-06-13
47号井,2006-02-18,Es2x,F,2,,2573.30 - 2577.60,4.3,2006-06-13
47号井,2006-02-18,Es2x,F,2,,2586.10 - 2590.10,4,2006-06-13
47号井,2006-02-18,Es2x,F,2,,2595.00 - 2599.00,4,2006-06-13
47号井,2002-05-31,Es2x,F,2,,2567.00 - 2570.50,3.5,2006-02-15
47号井,2002-05-31,Es2x,F,2,,2573.30 - 2577.60,4.3,2006-02-15
47号井,2002-05-31,Es2x,F,2,,2595.00 - 2599.00,4,2006-02-15
48号井,2016-09-23,Es2x,F,2,,2476.60 - 2478.80,2.2,
48号井,2016-09-23,Es2x,F,2,,2483.00 - 2484.00,1,
48号井,2016-09-23,Es2x,F,2,,2490.00 - 2491.00,1,
48号井,2016-09-23,Es2x,F,6,,2544.30 - 2546.30,2,
48号井,2016-09-23,Es2x,F,6,,2546.80 - 2549.10,2.3,
48号井,2011-01-11,Es2x,F,2,,2476.60 - 2478.80,2.2,2016-09-03
48号井,2011-01-11,Es2x,F,2,,2483.00 - 2484.00,1,2016-09-03
48号井,2011-01-11,Es2x,F,2,,2490.00 - 2491.00,1,2016-09-03
48号井,2011-01-11,Es2x,F,6,,2544.30 - 2546.30,2,2016-09-03
48号井,2011-01-11,Es2x,F,6,,2546.80 - 2549.10,2.3,2016-09-03
48号井,2002-10-18,Es2x,F,2,,2476.60 - 2478.80,2.2,2011-01-03
48号井,2002-10-18,Es2x,F,2,,2483.00 - 2484.00,1,2011-01-03
48号井,2002-10-18,Es2x,F,2,,2490.00 - 2491.00,1,2011-01-03
48号井,2002-10-18,Es2x,F,6,,2544.30 - 2546.30,2,2011-01-03
48号井,2002-10-18,Es2x,F,6,,2546.80 - 2549.10,2.3,2011-01-03
48号井,2002-05-31,Es2x,F,6,,2544.30 - 2546.30,2,2002-09-18
48号井,2002-05-31,Es2x,F,6,,2546.80 - 2549.10,2.3,2002-09-18
49号井,2011-08-26,Es2x,F,2,1+2,2633.00 - 2645.00,12,
49号井,2011-08-26,Es2x,F,2,3,2653.30 - 2659.00,5.7,
49号井,2011-08-26,Es2x,F,2,3,2663.20 - 2665.00,1.8,
49号井,2011-08-26,Es2x,F,2,3,2668.20 - 2669.60,1.4,
49号井,2011-08-26,Es2x,F,2,4,2672.00 - 2675.00,3,
49号井,2011-08-26,Es2x,F,2,4,2675.00 - 2681.00,6,
49号井,2006-09-09,Es2x,F,2,1+2,2633.00 - 2645.00,12,2011-08-12
49号井,2006-09-09,Es2x,F,2,3,2653.30 - 2659.00,5.7,2011-08-12
49号井,2006-09-09,Es2x,F,2,4,2663.20 - 2665.00,1.8,2011-08-12
49号井,2006-09-09,Es2x,F,2,4,2668.20 - 2669.60,1.4,2011-08-12
49号井,2006-09-09,Es2x,F,2,4,2672.00 - 2675.00,3,2011-08-12
49号井,2006-09-09,Es2x,F,2,4,2675.00 - 2681.00,6,2011-08-12
49号井,2001-07-20,Es2x,F,2,1+2,2633.00 - 2645.00,12,2006-09-02
49号井,2001-07-20,Es2x,F,2,3,2653.30 - 2659.00,5.7,2006-09-02
49号井,2001-07-20,Es2x,F,2,4,2663.20 - 2665.00,1.8,2006-09-02
49号井,2001-07-20,Es2x,F,2,,2668.20 - 2669.60,1.4,2006-09-02
49号井,2001-07-20,Es2x,F,3,,2672.00 - 2675.00,3,2006-09-02
