井号,测点深度,井斜角,方位角
15号井,1935.35,20.6,102.2
15号井,1963.76,21.7,102.1
15号井,1992.45,22,101.2
15号井,2020.81,22.4,100
15号井,2049.25,23.5,99.8
15号井,2077.7,24.5,100
15号井,2106,24.1,99.2
15号井,2134.65,23.9,100.08
15号井,2163.18,24.3,100.09
15号井,2191.67,24.8,99.4
15号井,2220.27,26.9,98.7
15号井,2248.87,27.4,99.4
15号井,2277.22,28.1,97.6
15号井,2305.57,29.1,98.4
15号井,2334.22,30.5,97.3
15号井,2362,30.1,98.7
15号井,2391.13,29.8,98.8
15号井,2419.67,30.3,98.2
15号井,2448.1,31,98.3
15号井,2476.68,31.7,98.1
15号井,2505.28,32.3,97.8
15号井,2533,32.7,96.7
15号井,2562.37,33.3,96.5
15号井,2590.86,34.1,96
15号井,2619.39,34.6,95.6
15号井,2647.95,36,94.1
15号井,2676.37,36.2,92.8
15号井,2697.1,36,92.8
15号井,2704.81,36.5,91.2
15号井,2733.4,36.7,90.1
15号井,2761.92,37.1,89.2
15号井,2804,38,88
16号井,351.27,0.75,219.41
16号井,379.7,0.94,225.12
16号井,408.08,1.01,224.01
16号井,436.44,0.84,219.67
16号井,464.85,0.86,201.47
16号井,493.19,0.91,192.86
16号井,521.62,0.92,189.45
16号井,550.05,0.83,182.9
16号井,578.46,1.09,181.36
16号井,606.82,1.11,184.01
16号井,635.18,1.08,182.87
16号井,663.59,0.84,191.2
16号井,692.03,0.81,189.82
16号井,720.4,0.71,189.14
16号井,748.75,0.72,178.54
16号井,776.16,0.55,190.45
16号井,805.57,0.7,192.79
16号井,834,1.08,182.55
16号井,862.42,1.17,179.2
16号井,890.86,1.28,183.26
16号井,919.23,1.26,181.47
16号井,947.61,1.52,181.64
16号井,976.02,1.56,183.47
16号井,1004.42,1.67,179.73
16号井,1032.8,1.77,184.44
16号井,1061.14,1.85,190.47
16号井,1089.58,1.74,190.89
16号井,1117.97,1.55,201.9
16号井,1146.39,1.82,202.18
16号井,1174.75,1.67,211.71
16号井,1203.1,1.72,215.09
16号井,1231.51,1.68,213.35
16号井,1259.95,1.37,210.43
16号井,1288.31,1.96,221.69
16号井,1316.74,1.87,217.03
16号井,1345.14,2.14,203.33
16号井,1373.58,1.95,200.5
16号井,1401.96,2.44,204.33
16号井,1430.34,2.71,203.88
16号井,1458.74,2.9,207.21
16号井,1487.13,2.62,207.81
16号井,1515.51,2.47,206.75
16号井,1543.94,2.63,204.36
16号井,1572.31,2.85,207.07
16号井,1600.67,2.88,206.05
16号井,1629.05,2.96,206.4
16号井,1657.47,3.18,207.16
16号井,1685.83,3.34,209.13
16号井,1714.19,3.11,205.7
16号井,1742.62,2.89,206.62
16号井,1771.02,2.77,205.87
16号井,1799.46,2.2,214.05
16号井,1827.84,2.17,216.91
16号井,1856.2,2.19,213.29
16号井,1868.05,2.22,214.69
16号井,1896.55,2.28,218.07
16号井,1925.18,3.4,231.5
16号井,1953.73,4.5,238.2
16号井,1982.33,7.7,259.3
16号井,2010.6,9.8,274.9
16号井,2029.75,13.1,280.6
16号井,2041.11,13.5,280.7
16号井,2069.8,17.3,279.4
16号井,2098.39,17.7,279.4
16号井,2127.01,20.1,275.5
16号井,2155.41,22.3,275.3
16号井,2183.73,25,276.1
16号井,2212.19,25.9,275.8
16号井,2240.18,26,274.8
16号井,2268.59,26.8,275.9
16号井,2296.9,27.5,275
16号井,2325.4,28.2,274.6
16号井,2354.09,27.3,273.7
16号井,2382.47,27.8,273.4
16号井,2410.73,27.96,273.35
16号井,2439.25,26.6,273.5
16号井,2467.2,27.3,273.8
16号井,2495.52,27.8,273.4
16号井,2523.77,28.1,272.2
16号井,2552.2,28.9,272.6
16号井,2580.81,29.3,272.9
16号井,2609.54,29.7,271.6
16号井,2637.27,30,272.1
16号井,2665.82,31,272.7
16号井,2694.47,31.6,272.6
16号井,2722.87,32.5,272.9
16号井,2751.6,33.12,273
16号井,2780.23,33.48,272.88
16号井,2797.46,33.7,272.8
16号井,2810,33.7,272.8
17号井,382.15,0.73,189.57
17号井,410.51,0.42,254.44
17号井,438.97,0.4,282.12
17号井,467.58,0.31,290.34
17号井,496.14,0.35,320.81
17号井,524.59,0.31,325.76
17号井,553.03,0.27,313.64
17号井,581.49,0.22,293.2
17号井,610,0.1,213.38
17号井,638.66,0.35,179.05
17号井,667.29,0.48,174.96
17号井,695.87,0.58,162.2
17号井,724.34,0.64,158.65
17号井,752.73,0.74,166.2
17号井,781.27,0.79,185.24
17号井,809.84,0.78,198.26
17号井,838.33,0.67,206.58
17号井,866.71,0.6,208.99
17号井,895.32,0.39,220.51
17号井,923.74,0.21,234.25
17号井,952.32,0.88,95.9
17号井,980.79,0.94,107.55
17号井,1009.29,1,118.27
17号井,1037.7,1.01,118.63
17号井,1066.35,0.98,132.24
17号井,1095.09,1.08,132.58
17号井,1123.61,0.99,130.47
17号井,1151.98,0.95,132.5
17号井,1180.43,0.76,122.11
17号井,1208.97,0.6,127.58
17号井,1237.45,0.5,117.43
17号井,1265.88,0.58,109.28
17号井,1294.44,0.53,92
17号井,1322.97,0.56,85.3
17号井,1351.44,0.51,80.7
17号井,1365.53,0.5,74.5
17号井,1394.09,4.5,128.1
17号井,1422.54,8.9,141.9
17号井,1451.05,12.9,148.3
17号井,1479.48,20.4,148.8
17号井,1507.96,22.9,151.9
17号井,1536.38,22.7,151.5
17号井,1564.88,26.2,155.7
17号井,1593.44,26.9,156
17号井,1621.9,27,155.9
17号井,1650.54,28.4,155
17号井,1679.08,28.4,154.7
17号井,1707.61,28.3,153.6
17号井,1735.99,28.2,153.4
17号井,1764.56,28.3,152.8
17号井,1793.2,28.6,152.5
17号井,1821.65,28.9,152.7
17号井,1850.1,28.8,152.7
17号井,1878.65,28.9,152.7
17号井,1907.23,29,152.9
17号井,1935.81,29.3,152.7
17号井,1964.32,29.5,152.1
17号井,1992.72,29.5,152.2
17号井,2021.26,29.8,151.4
17号井,2049.76,29.9,152
17号井,2078.28,30.3,150.2
17号井,2106.77,30.6,149.8
17号井,2135.4,30.9,148.9
17号井,2163.99,31.7,151.3
17号井,2192.37,32,156.5
17号井,2220.93,32.1,155
17号井,2249.29,32.2,155.8
17号井,2277.69,32.1,154.7
17号井,2306.08,32.2,154.7
17号井,2334.68,32.1,154.6
17号井,2363.03,32.2,153.8
17号井,2391.53,32.3,152.8
17号井,2410.35,32.5,153
17号井,2438.7,32.5,152.8
17号井,2466.98,32.8,152.2
17号井,2495.55,32.9,151.8
17号井,2523.96,31.9,150.2
17号井,2552.48,32,150.6
17号井,2581.03,32.4,150.4
17号井,2609.57,32.4,150.6
17号井,2638.16,31.7,150.4
17号井,2666.69,32,150.6
17号井,2695.16,32,150.9
17号井,2723.69,31.9,150.8
17号井,2752.04,32.1,150.4
17号井,2780.41,32.4,149.3
17号井,2808.94,31.7,150.7
17号井,2837.37,32,149.8
17号井,2849.18,32.2,149.1
17号井,2863,32.2,149.1
18号井,26.32,0.18,218.53
18号井,54.77,0.3,279.62
18号井,82.58,0.26,324.71
18号井,110.63,0.32,309.56
18号井,138.51,0.57,254.91
18号井,166.33,0.45,225.74
18号井,195.06,0.72,214.66
18号井,223.52,0.81,242.78
18号井,251.89,0.66,277.81
18号井,280.84,0.74,284.52
18号井,310.42,0.8,304.57
18号井,339.61,0.54,240.4
18号井,368.45,0.57,208.87
18号井,396.57,0.59,241.29
18号井,425.25,0.63,319.22
18号井,453.94,0.52,292.2
18号井,482.5,0.5,310.95
18号井,511.2,0.44,312.78
18号井,539.76,0.27,341.35
18号井,568.54,0.4,357.93
18号井,597.08,0.41,16.53
18号井,625.57,0.51,30.54
18号井,654.29,0.45,64.59
18号井,682.85,0.44,80.86
18号井,711.51,0.48,105.5
18号井,740.14,0.39,125.98
18号井,768.69,0.24,123.3
18号井,797.57,0.1,174.76
18号井,826.31,0.36,220.98
18号井,854.86,0.84,279.27
18号井,883.51,0.88,288.73
18号井,912.19,1.02,283.95
18号井,940.7,0.87,289.11
18号井,969.28,0.86,297.13
18号井,997.63,0.78,309.54
18号井,1025.98,0.67,325.41
18号井,1054.44,0.73,327.55
18号井,1064.6,0.7,323.48
18号井,1082.83,0.65,316.19
18号井,1111.39,0.55,341.7
18号井,1139.92,0.55,358.39
18号井,1168.74,0.41,182.07
18号井,1197.36,0.61,218.53
18号井,1225.95,0.87,257.5
18号井,1254.54,0.85,256.88
18号井,1283.15,0.79,267.19
18号井,1311.67,0.88,278.07
18号井,1340.46,0.97,306.14
18号井,1368.99,1.07,323.53
18号井,1397.38,0.84,343.7
18号井,1425.97,0.87,16.17
18号井,1442.36,0.94,351.7
18号井,1461.65,1.1,316
18号井,1490.46,3.6,291.5
18号井,1519.32,6.5,294.2
18号井,1548.06,9.4,285.8
18号井,1576.66,13.3,289.2
18号井,1605.19,17.4,294.1
18号井,1632.76,21.6,295.4
18号井,1661.49,23.5,295
18号井,1690.17,26.3,295.5
18号井,1718.76,26.9,294.3
18号井,1747.86,27.4,293.6
18号井,1776.46,27.6,292.3
18号井,1805.25,27.5,291.6
18号井,1833.9,28.8,292.2
18号井,1862.75,28.8,291.6
18号井,1891.48,29.1,290.6
18号井,1920.07,29,289.2
18号井,1948.89,29.2,289.2
18号井,1977.75,29.8,290.4
18号井,2006.1,31.9,291.3
18号井,2034.89,33.7,291.8
18号井,2063.61,34.7,293.4
18号井,2092.11,35.9,293.9
18号井,2120.71,36,293
18号井,2149.49,38.3,293.9
18号井,2178.31,39,293.2
18号井,2206.99,38.9,292.2
18号井,2235.82,39.1,291.3
18号井,2264.23,39.5,290.4
18号井,2292.72,39,292
18号井,2321.3,37.7,295
18号井,2349.97,37.8,294.8
18号井,2378.53,36.9,294.1
18号井,2407.09,37.3,294.1
18号井,2435.74,38.2,294.1
18号井,2464.56,37.7,292.9
18号井,2493.43,37.4,292.5
18号井,2522.14,37.8,291.8
18号井,2551.08,37.7,291.8
18号井,2579.56,38.2,292.5
18号井,2608.17,38.6,291.5
18号井,2637.11,36.7,294.6
18号井,2666.03,37.5,293.7
18号井,2694.6,37.8,293.6
18号井,2723.41,37.6,292.9
18号井,2752.34,38,294.4
18号井,2780.92,36.1,294.6
18号井,2809.71,36,294.3
18号井,2838.46,34.1,295.7
18号井,2867.07,35.2,295.3
18号井,2877.68,35.46,294.85
18号井,2890.9,35.78,294.3
18号井,2895.63,35.9,294.1
18号井,2924.44,36.5,293
18号井,2953.37,37,293
18号井,2964.61,37,293
18号井,2968,37,293
19号井,462.3,0.24,31.96
19号井,487.3,0.2,88.36
19号井,512.3,0.19,143.55
19号井,537.3,0.24,268.95
19号井,562.3,0.43,12.61
19号井,587.3,0.28,1.18
19号井,612.3,0.24,252.96
19号井,637.3,0.23,213.43
19号井,662.3,0.47,310.18
19号井,687.3,0.45,291.77
19号井,712.3,0.41,261.13
19号井,737.3,0.33,329.97
19号井,762.3,0.24,356.6
19号井,787.3,0.14,115.78
19号井,812.3,0.27,21.96
19号井,837.3,0.49,357.46
19号井,862.3,0.62,340.03
19号井,887.3,0.71,342.72
19号井,912.3,0.68,333.89
19号井,937.3,0.71,347.67
19号井,962.3,0.67,0.26
19号井,987.3,0.68,351.78
19号井,1012.3,0.52,31.59
19号井,1037.3,0.65,4.86
19号井,1062.3,0.72,9.37
19号井,1087.3,0.73,14.55
19号井,1112.3,0.6,22.89
19号井,1137.3,0.34,28.89
19号井,1162.3,0.68,299.73
19号井,1187.3,0.84,269.72
19号井,1212.3,1.06,272.59
19号井,1237.3,0.27,336.31
19号井,1262.3,0.31,24.5
19号井,1287.3,0.41,78.81
19号井,1312.3,0.66,92.54
19号井,1337.3,0.88,146.64
19号井,1362.3,0.83,171.77
19号井,1387.3,0.89,187.45
19号井,1412.3,0.81,192.44
19号井,1437.3,0.87,173.79
19号井,1462.3,0.73,172.04
19号井,1487.3,1.22,194.81
19号井,1512.3,1.25,204.81
19号井,1537.3,1.45,196.49
19号井,1562.3,1.44,208.5
19号井,1587.3,1.31,208.46
19号井,1612.3,1.33,204.85
19号井,1637.3,1.5,205.97
19号井,1662.3,1.39,216.92
19号井,1687.3,1.44,215.25
19号井,1712.3,1.65,217.24
19号井,1737.3,1.43,221.26
19号井,1762.3,1.28,217.41
19号井,1787.3,1.19,212.35
19号井,1812.3,1.15,210.69
19号井,1837.3,1.01,230.81
19号井,1862.3,1.11,230.71
19号井,1887.3,1.81,233.93
19号井,1912.3,2.13,236.73
19号井,1937.3,1.89,234.9
19号井,1962.3,1.54,234.87
19号井,1987.3,1.65,232.82
19号井,2012.3,1.46,230.26
19号井,2037.3,1.65,236.27
19号井,2062.3,1.61,231.01
19号井,2087.3,1.42,229.09
19号井,2112.3,1.47,235.99
19号井,2137.3,1.7,232.89
19号井,2162.3,1.7,231.52
19号井,2187.3,1.93,236.96
19号井,2212.3,2.07,228.29
19号井,2237.3,1.91,228.68
19号井,2262.3,1.8,234.67
19号井,2287.3,1.85,237.96
19号井,2312.3,2,242.21
19号井,2337.3,2.44,208.1
19号井,2362.3,4.84,198.29
19号井,2387.3,6.96,205.28
19号井,2412.3,9.14,210.56
19号井,2437.3,9.11,217.13
19号井,2462.3,11.22,214.3
19号井,2487.3,13.31,213.37
19号井,2512.3,14.64,212.73
19号井,2537.3,15.85,212.17
19号井,2562.3,16.35,212.13
19号井,2587.3,17.8,213.06
19号井,2612.3,18.13,213.32
19号井,2637.3,18.23,213.86
19号井,2662.3,18.12,215.1
19号井,2687.3,18.12,215.94
19号井,2712.3,18.05,216.71
19号井,2737.3,18.04,216.4
19号井,2762.3,18.12,215.95
19号井,2787.3,18.13,215.9
19号井,2812.3,18.11,216.86
19号井,2837.3,18.28,218.3
19号井,2862.3,18.26,220.03
20号井,325.5,0.65,132.32
20号井,350.5,0.68,124.04
20号井,375.5,0.64,216.24
20号井,400.5,0.51,216.86
20号井,425.5,1.04,152.37
20号井,450.5,1.11,91.07
20号井,475.5,0.96,76.27
20号井,500.5,0.7,81.36
20号井,525.5,0.59,84.68
20号井,550.5,0.63,57.85
20号井,575.5,0.42,61.89
20号井,600.5,0.25,115.58
